Aphrika	Africa
Katiguriya:Pulitiku (Arhintina)	Categoria:Politici argentini
Katiguriya:Pulitiku (Albanya)	Categoria:Politici albanesi
Katiguriya:Pulitiku (Istunya)	Categoria:Politici estoni
Katiguriya:Pulitiku (Usbiksuyu)	Categoria:Politici uzbeki
Katiguriya:Pulitiku (Indunisya)	Categoria:Politici indonesiani
Katiguriya:Pulitiku (Chiksuyu)	Categoria:Politici cechi
Katiguriya:Pulitiku (Kambuya)	Categoria:Politici cambogiani
Katiguriya:Pulitiku (Kustarika)	Categoria:Politici costaricani
Katiguriya:Piluta hayt'aq (Grisya)	Categoria:Calciatori greci
Katiguriya:Piluta hayt'aq (Israyil)	Categoria:Calciatori israeliani
Katiguriya:Piluta hayt'aq (Kamirun)	Categoria:Calciatori camerunesi
Katiguriya:1746	Categoria:Eventi del 1746
Katiguriya:1785	Categoria:Eventi del 1785
Katiguriya:1817	Categoria:Eventi del 1817
Katiguriya:1898	Categoria:Eventi del 1898
Katiguriya:1998	Categoria:Eventi del 1998
Katiguriya:Qatar	Categoria:Qatar
Katiguriya:Kuriya	Categoria:Corea
Katiguriya:Kuwait	Categoria:Kuwait
Katiguriya:Myanmar	Categoria:Birmania
Katiguriya:Nepal	Categoria:Nepal
Katiguriya:Wañusqa 1 ñiqin pachakwatapi kñ	Categoria:Morti nel I secolo a.C.
Katiguriya:2 ñiqin pachakwata kñ	Categoria:II secolo a.C.
Katiguriya:3 ñiqin pachakwata kñ	Categoria:III secolo a.C.
Katiguriya:Paqarisqa 4 ñiqin pachakwatapi kñ	Categoria:Nati nel IV secolo a.C.
Katiguriya:Wañusqa 5 ñiqin pachakwatapi	Categoria:Morti nel V secolo
Katiguriya:Paqarisqa 5 ñiqin pachakwatapi kñ	Categoria:Nati nel V secolo a.C.
Katiguriya:Paqarisqa 6 ñiqin pachakwatapi kñ	Categoria:Nati nel VI secolo a.C.
Katiguriya:Paqarisqa 7 ñiqin pachakwatapi kñ	Categoria:Nati nel VII secolo a.C.
Katiguriya:Kina yura rikch'aq ayllu	Categoria:Rubiaceae
Katiguriya:9 ñiqin pachakwata kñ	Categoria:IX secolo a.C.
Katiguriya:Wañusqa 10 ñiqin pachakwatapi	Categoria:Morti nel X secolo
Katiguriya:11 ñiqin pachakwata kñ	Categoria:XI secolo a.C.
Katiguriya:Paqarisqa 13 ñiqin pachakwatapi kñ	Categoria:Nati nel XIII secolo a.C.
Katiguriya:Wañusqa 15 ñiqin pachakwatapi	Categoria:Morti nel XV secolo
Katiguriya:16 ñiqin pachakwata kñ	Categoria:XVI secolo a.C.
Katiguriya:17 ñiqin pachakwata kñ	Categoria:XVII secolo a.C.
Katiguriya:19 ñiqin pachakwata kñ	Categoria:XIX secolo a.C.
Katiguriya:Sri Lanka	Categoria:Sri Lanka
Katiguriya:20 ñiqin pachakwata kñ	Categoria:XX secolo a.C.
Katiguriya:22 ñiqin pachakwata kñ	Categoria:XXII secolo a.C.
Katiguriya:Allpamanta yachaykuna (Grisya)	Categoria:Geografia della Grecia
Katiguriya:Pulitika rakiy (Ispaña)	Categoria:Suddivisioni della Spagna
Katiguriya:Tayikistan	Categoria:Tagikistan
Katiguriya:Taywan	Categoria:Taiwan
Katiguriya:Intichay Timur	Categoria:Timor Est
Katiguriya:Ikwaduryanu	Categoria:Ecuadoriani
Katiguriya:Turkministan	Categoria:Turkmenistan
Katiguriya:Hampikamayuq	Categoria:Medici
Katiguriya:Awqaq pusaq (Piruw)	Categoria:Militari peruviani
Katiguriya:Pulitiku (Nurwiga)	Categoria:Politici norvegesi
Katiguriya:Pulitiku (Yanaurqu)	Categoria:Politici montenegrini
Katiguriya:Pulitiku (Bilarus)	Categoria:Politici bielorussi
Katiguriya:Pulitiku (Awstiriya)	Categoria:Politici austriaci
Katiguriya:Pulitiku (Kirkisuyu)	Categoria:Politici kirghisi
Katiguriya:Piluta hayt'aq (Mishiku)	Categoria:Calciatori messicani
Katiguriya:Piluta hayt'aq (Istunya)	Categoria:Calciatori estoni
Katiguriya:Wañusqa 1795	Categoria:Morti nel 1795
Katiguriya:1855	Categoria:Eventi del 1855
Katiguriya:2003	Categoria:Eventi del 2003
Katiguriya:Wañusqa 2 ñiqin pachakwatapi kñ	Categoria:Morti nel II secolo a.C.
Katiguriya:Wañusqa 3 ñiqin pachakwatapi kñ	Categoria:Morti nel III secolo a.C.
Katiguriya:Wañusqa 6 ñiqin pachakwatapi	Categoria:Morti nel VI secolo
Katiguriya:Wañusqa 7 ñiqin pachakwatapi	Categoria:Morti nel VII secolo
Katiguriya:8 ñiqin pachakwata kñ	Categoria:VIII secolo a.C.
Katiguriya:9 ñiqin pachakwata	Categoria:IX secolo
Katiguriya:Wañusqa 14 ñiqin pachakwatapi	Categoria:Morti nel XIV secolo
Katiguriya:18 ñiqin pachakwata kñ	Categoria:XVIII secolo a.C.
Katiguriya:21 ñiqin pachakwata kñ	Categoria:XXI secolo a.C.
Katiguriya:Allpamanta yachaykuna (Arhintina)	Categoria:Geografia dell'Argentina
Katiguriya:Ispañayuq	Categoria:Spagnoli
Katiguriya:Pulitiku (Iraq)	Categoria:Politici iracheni
Katiguriya:Llimphiq (Ispaña)	Categoria:Pittori spagnoli
Katiguriya:1971	Categoria:Eventi del 1971
Katiguriya:Paqarisqa 8 ñiqin pachakwatapi kñ	Categoria:Nati nell'VIII secolo a.C.
Katiguriya:Wañusqa 13 ñiqin pachakwatapi	Categoria:Morti nel XIII secolo
Katiguriya:1 ñiqin pachakwata kñ	Categoria:I secolo a.C.
Katiguriya:Qillqaq (Afgansuyu)	Categoria:Scrittori afghani
Katiguriya:Qillqaq (Buliwya)	Categoria:Scrittori boliviani
Katiguriya:Kamri	Categoria:Galles
Katiguriya:Isanka rump'u (Hukllachasqa Amirika Suyukuna)	Categoria:Pallacanestro negli Stati Uniti d'America
Katiguriya:Caracas llaqtapi paqarisqa	Categoria:Persone legate a Caracas
Katiguriya:Qucha (Aphrika)	Categoria:Laghi dell'Africa
Katiguriya:Dublin llaqtapi paqarisqa	Categoria:Persone legate a Dublino
Katiguriya:Buenos Aires llaqtapi paqarisqa	Categoria:Persone legate a Buenos Aires
Katiguriya:Piluta hayt'aq (PSV Eindhoven)	Categoria:Calciatori del Philips Sport Vereniging
Katiguriya:Piluta hayt'aq (Alianza Lima)	Categoria:Calciatori del Club Alianza Lima
Katiguriya:Piluta hayt'aq (AFC Ajax)	Categoria:Calciatori dell'A.F.C. Ajax
Katiguriya:Piluta hayt'aq (Universitario de Deportes)	Categoria:Calciatori del Club Universitario de Deportes
Katiguriya:Piluta hayt'aq (Borussia Dortmund)	Categoria:Calciatori del B.V. Borussia 09 Dortmund
Katiguriya:Piluta hayt'aq (CA Peñarol)	Categoria:Calciatori del C.A. Peñarol
Katiguriya:Piluta hayt'aq (Santos FC)	Categoria:Calciatori del Santos F.C.
Katiguriya:Piluta hayt'aq (São Paulo FC)	Categoria:Calciatori del São Paulo F.C.
Katiguriya:Piluta hayt'aq (Sporting CP)	Categoria:Calciatori dello Sporting Clube de Portugal
Katiguriya:Piluta hayt'aq (CR Vasco da Gama)	Categoria:Calciatori del C.R. Vasco da Gama
Katiguriya:Piluta hayt'aq (Fluminense FC)	Categoria:Calciatori del Fluminense F.C.
Katiguriya:Piluta hayt'aq (Cruzeiro EC)	Categoria:Calciatori del Cruzeiro E.C.
Katiguriya:Umalliq (Gana)	Categoria:Presidenti del Ghana
Katiguriya:Umalliq (Turkiya)	Categoria:Presidenti della Repubblica Turca
Katiguriya:Umalliq (Phinsuyu)	Categoria:Presidenti della Finlandia
Katiguriya:Umalliq (Ransiya)	Categoria:Presidenti della Repubblica francese
Katiguriya:Umalliq (Myanmar)	Categoria:Presidenti della Birmania
Katiguriya:Umalliq (Piruw)	Categoria:Presidenti del Perù
Katiguriya:Umalliq (Ikwadur)	Categoria:Presidenti dell'Ecuador
Katiguriya:Umalliq (Hukllachasqa Amirika Suyukuna)	Categoria:Presidenti degli Stati Uniti d'America
Katiguriya:Umalliq (Iran)	Categoria:Presidenti dell'Iran
Katiguriya:Wiñay kawsay (Iwrupa)	Categoria:Storia dell'Europa
Katiguriya:Wiñay kawsay (Asya)	Categoria:Storia dell'Asia
Katiguriya:Kiribati	Categoria:Kiribati
Katiguriya:San Marino	Categoria:San Marino
Katiguriya:Kustarika	Categoria:Costa Rica
Katiguriya:Surinam	Categoria:Suriname
Katiguriya:Nikarawa	Categoria:Nicaragua
Katiguriya:Busna-Hirsiquwina	Categoria:Bosnia ed Erzegovina
Katiguriya:Nurwiga	Categoria:Norvegia
Katiguriya:Panama	Categoria:Panamá
Katiguriya:Parawayi	Categoria:Paraguay
Katiguriya:Papwa Ñukini	Categoria:Papua Nuova Guinea
Katiguriya:Liechtenstein	Categoria:Liechtenstein
Katiguriya:Llaqta (Sirya)	Categoria:Città della Siria
Katiguriya:Unduras	Categoria:Honduras
Katiguriya:Uruwayi	Categoria:Uruguay
Katiguriya:Sirbya	Categoria:Serbia
Katiguriya:Bilisi	Categoria:Belize
Katiguriya:El Salvador	Categoria:El Salvador
Katiguriya:Ayti mama llaqta	Categoria:Haiti
Katiguriya:Ikwadur	Categoria:Ecuador
Katiguriya:Yaman	Categoria:Yemen
Katiguriya:Piruw	Categoria:Perù
Katiguriya:Buliwya	Categoria:Bolivia
Katiguriya:Albanya	Categoria:Albania
Katiguriya:Mama llaqta (Usiyanya)	Categoria:Stati dell'Oceania
Katiguriya:Challwa	Categoria:Pesci
Katiguriya:Yuyu	Categoria:Ortaggi
Katiguriya:Wayuq	Categoria:Frutta
Katiguriya:Piluta hayt'aq (FC Barcelona)	Categoria:Calciatori del F.C. Barcelona
Katiguriya:Piluta hayt'aq (Bayern München)	Categoria:Calciatori del F.C. Bayern München
Katiguriya:Piluta hayt'aq (Arsenal FC)	Categoria:Calciatori dell'Arsenal F.C.
Katiguriya:Piluta hayt'aq (FC Porto)	Categoria:Calciatori del F.C. Porto
Katiguriya:Piluta hayt'aq (AS Roma)	Categoria:Calciatori dell'A.S. Roma
Katiguriya:Partidu	Categoria:Partiti politici
Katiguriya:Flora	Categoria:Flora
Katiguriya:Inka qhapaq	Categoria:Imperatori inca
Katiguriya:Qullana Mariya	Categoria:Maria (madre di Gesù)
Katiguriya:Watimalapi rimay	Categoria:Lingue del Guatemala
Katiguriya:Chilipi rimay	Categoria:Lingue del Cile
Katiguriya:Hukllachasqa Amirika Suyukunapi rimay	Categoria:Lingue degli Stati Uniti d'America
Katiguriya:Piruwpi rimay	Categoria:Lingue del Perù
Katiguriya:Mishikupi rimay	Categoria:Lingue del Messico
Katiguriya:Kulumbyapi rimay	Categoria:Lingue della Colombia
Katiguriya:Buliwyapi rimay	Categoria:Lingue della Bolivia
Katiguriya:Ikwadurpi rimay	Categoria:Lingue dell'Ecuador
Katiguriya:Allpamanta yachaykuna (Chinchay Awya Yala)	Categoria:Geografia dell'America settentrionale
Katiguriya:Allpamanta yachaykuna (Usiyanya)	Categoria:Geografia dell'Oceania
Katiguriya:Allpamanta yachaykuna (Allpa pacha)	Categoria:Geografia per continente
Katiguriya:Allpamanta yachaykuna (Asya)	Categoria:Geografia dell'Asia
Katiguriya:Urqu (Urin Awya Yala)	Categoria:Montagne dell'America meridionale
Katiguriya:Urqu (Allpa pacha)	Categoria:Montagne per continente
Katiguriya:Urqu (Asya)	Categoria:Montagne dell'Asia
Katiguriya:Urqu (Aphrika)	Categoria:Montagne dell'Africa
Katiguriya:Urqu (Suwisa)	Categoria:Montagne della Svizzera
Katiguriya:Urqu (Ransiya)	Categoria:Montagne della Francia
Katiguriya:Nina urqu (Ikwadur)	Categoria:Vulcani dell'Ecuador
Katiguriya:Tukuy runakunap qhapaq kaynin (Iwrupa)	Categoria:Patrimoni dell'umanità dell'Europa
Katiguriya:Tukuy runakunap qhapaq kaynin (Asya)	Categoria:Patrimoni dell'umanità dell'Asia
Katiguriya:Tukuy runakunap qhapaq kaynin (Aphrika)	Categoria:Patrimoni dell'umanità dell'Africa
Katiguriya:Tukuy runakunap qhapaq kaynin (Hurdanya)	Categoria:Patrimoni dell'umanità della Giordania
Katiguriya:Tukuy runakunap qhapaq kaynin (Ispaña)	Categoria:Patrimoni dell'umanità della Spagna
Katiguriya:Tukuy runakunap qhapaq kaynin (Ransiya)	Categoria:Patrimoni dell'umanità della Francia
Katiguriya:Tukuy runakunap qhapaq kaynin (Ikwadur)	Categoria:Patrimoni dell'umanità dell'Ecuador
Katiguriya:Sallqa waqlliy	Categoria:Inquinamento
Katiguriya:Hatun yaya	Categoria:Vescovi
Katiguriya:Suyu (Mishiku)	Categoria:Stati del Messico
Katiguriya:Schleswig-Holstein	Categoria:Schleswig-Holstein
Katiguriya:Hessen	Categoria:Assia
Katiguriya:Oskar Suñay	Categoria:Premi Oscar
Katiguriya:Llaqta (Winisuyla)	Categoria:Città del Venezuela
Katiguriya:Chirimuyu yura rikch'aq ayllu	Categoria:Annonaceae
Katiguriya:Allqumiyu yura rikch'aq ayllu	Categoria:Apocynaceae
Katiguriya:Hamanq'ay yura rikch'aq ayllu	Categoria:Amaryllidaceae
Katiguriya:Waranqaysu yura rikch'aq ayllu	Categoria:Ranunculaceae
Katiguriya:Sapallu yura rikch'aq ayllu	Categoria:Cucurbitaceae
Katiguriya:Kultura (China)	Categoria:Cultura della Cina
Katiguriya:Kultura (Grisya)	Categoria:Cultura della Grecia
Katiguriya:Kultura (Ransiya)	Categoria:Cultura della Francia
Katiguriya:Kultura (Italya)	Categoria:Cultura dell'Italia
Katiguriya:Kultura (Rusiya)	Categoria:Cultura della Russia
Katiguriya:Paqarisqa 10 ñiqin pachakwatapi kñ	Categoria:Nati nel X secolo a.C.
Katiguriya:Kapchiq (Hukllachasqa Amirika Suyukuna)	Categoria:Artisti statunitensi
Katiguriya:Llaqta (Piemonte)	Categoria:Comuni del Piemonte
Katiguriya:Llaqta (Toscana)	Categoria:Comuni della Toscana
Katiguriya:Llaqta (Sicilia)	Categoria:Comuni della Sicilia
Katiguriya:Llaqta (Kamri)	Categoria:Città del Galles
Plantilla:ESP	Template:ESP
Katiguriya:Antanka ruruchina	Categoria:Compagnie aeree
Katiguriya:Piluta hayt'ay klubkuna (Ransiya)	Categoria:Società calcistiche francesi
Katiguriya:Piluta hayt'ay klubkuna (Urasuyu)	Categoria:Società calcistiche olandesi
Katiguriya:Qhapaq chunkana	Categoria:Scacchi
Katiguriya:Nawru	Categoria:Nauru
Katiguriya:Wayana	Categoria:Guyana
Katiguriya:Kulumbya	Categoria:Colombia
Katiguriya:Paqarisqa 1571	Categoria:Nati nel 1571
Katiguriya:Kuyuylla	Categoria:Mobili
Katiguriya:Waqachina	Categoria:Strumenti musicali
Katiguriya:Rimaykunap ayllun	Categoria:Famiglie linguistiche
Katiguriya:Mit'a yachay	Categoria:Meteorologia
Katiguriya:Mama llaqta parki (Arhintina)	Categoria:Parchi nazionali dell'Argentina
Katiguriya:Mama llaqta parki (Hukllachasqa Qhapaq Suyu)	Categoria:Parchi nazionali del Regno Unito
Katiguriya:Sicilia	Categoria:Sicilia
Katiguriya:Wat'a (Iwrupa)	Categoria:Isole dell'Europa
Katiguriya:Wat'a (Asya)	Categoria:Isole dell'Asia
Katiguriya:Wat'a (Urin Awya Yala)	Categoria:Isole dell'America meridionale
Katiguriya:Wat'a (Chili)	Categoria:Isole del Cile
Katiguriya:Wat'a (Ispaña)	Categoria:Isole della Spagna
Katiguriya:Wat'a (Arhintina)	Categoria:Isole dell'Argentina
Katiguriya:Wat'a (Italya)	Categoria:Isole d'Italia
Katiguriya:Wat'a (Purtugal)	Categoria:Isole del Portogallo
Katiguriya:Wat'a (Iskusya)	Categoria:Isole della Scozia
Katiguriya:Wat'a (Ikwadur)	Categoria:Isole dell'Ecuador
Katiguriya:Wat'a (Usiyanya)	Categoria:Isole dell'Oceania
Katiguriya:Wat'a (Atlantiku mama qucha)	Categoria:Isole dell'oceano Atlantico
Katiguriya:Lata phukuna waqachina	Categoria:Aerofoni a bocchino
Katiguriya:Qiru phukuna waqachina	Categoria:Legni
Katiguriya:Suyu (Inlatirra)	Categoria:Contee dell'Inghilterra
Qallchay	Mietitura
Katiguriya:Rawrana	Categoria:Combustibili
Katiguriya:Devon	Categoria:Devon
Katiguriya:Grisya mituluqiya	Categoria:Mitologia greca
Katiguriya:Walla	Categoria:Catene montuose
Katiguriya:Antikuna	Categoria:Ande
Katiguriya:Uma llaqta	Categoria:Capitali di stato
Katiguriya:Llaqta (Bulgarya)	Categoria:Città della Bulgaria
Katiguriya:Llaqta (Litunya)	Categoria:Città della Lettonia
Katiguriya:Llaqta (Awstiriya)	Categoria:Città dell'Austria
Katiguriya:Llaqta (Indya)	Categoria:Città dell'India
Katiguriya:Llaqta (Suwisa)	Categoria:Città della Svizzera
Katiguriya:Llaqta (Rusiya)	Categoria:Città della Russia
Katiguriya:Llaqta (Unriya)	Categoria:Città dell'Ungheria
Katiguriya:Llaqta (Istunya)	Categoria:Città dell'Estonia
Katiguriya:Llaqta (Kanada)	Categoria:Città del Canada
Katiguriya:Campania	Categoria:Campania
Katiguriya:Suyu (Piruw)	Categoria:Regioni del Perù
Katiguriya:Trentino Urin Tirul	Categoria:Trentino-Alto Adige
Katiguriya:Toscana	Categoria:Toscana
Katiguriya:Murcia suyu	Categoria:Murcia (comunità autonoma)
Katiguriya:Madrid suyu	Categoria:Madrid (comunità autonoma)
Katiguriya:Liguria	Categoria:Liguria
Katiguriya:Qiqlla	Categoria:Minerali
Katiguriya:Mawk'a llaqta	Categoria:Siti archeologici
Katiguriya:K'arachiq	Categoria:Celenterati
Katiguriya:Ruwaq:pl	Categoria:Utenti pl
Katiguriya:Romanu rimay	Categoria:Lingue romanze
Katiguriya:Challwa hap'iy	Categoria:Pesca
Katiguriya:Wayt'ay	Categoria:Nuoto
Katiguriya:Tusuy	Categoria:Danza
Katiguriya:Kurku kallpanchay	Categoria:Discipline sportive
Katiguriya:Qaraqruyuwa	Categoria:Crostacei
Katiguriya:Ayllu	Categoria:Famiglia
Katiguriya:Cornwall	Categoria:Cornovaglia
Ch'iwa	Veronica (botanica)
Katiguriya:Musika (Hukllachasqa Qhapaq Suyu)	Categoria:Musica nel Regno Unito
Katiguriya:Ñuñu warani	Categoria:Galassie
Katiguriya:Antartika	Categoria:Antartide
Katiguriya:Ch'in pacha (Urin Awya Yala)	Categoria:Deserti dell'America meridionale
Katiguriya:Ch'in pacha	Categoria:Deserti
Katiguriya:Ch'in pacha (Awstralya)	Categoria:Deserti dell'Australia
Katiguriya:Qucha (Urin Awya Yala)	Categoria:Laghi dell'America meridionale
Katiguriya:Qucha (Asya)	Categoria:Laghi dell'Asia
Katiguriya:Qucha (Iwrupa)	Categoria:Laghi dell'Europa
Katiguriya:Qucha (Hukllachasqa Qhapaq Suyu)	Categoria:Laghi del Regno Unito
Katiguriya:Qucha (Chili)	Categoria:Laghi del Cile
Katiguriya:Qucha (Kanada)	Categoria:Laghi del Canada
Katiguriya:Taripay amachaq	Categoria:Avvocati
Katiguriya:Kurku kallpanchaq (Grisya)	Categoria:Sportivi greci
Katiguriya:Kurku kallpanchaq (Ransiya)	Categoria:Sportivi francesi
Katiguriya:Kurku kallpanchaq (Rusiya)	Categoria:Sportivi russi
Katiguriya:Kurku kallpanchaq (Unriya)	Categoria:Sportivi ungheresi
Katiguriya:Kurku kallpanchaq (Alimanya)	Categoria:Sportivi tedeschi
Katiguriya:Yupay yachaq	Categoria:Matematici
Plantilla:Rimay	Template:Lingua
Katiguriya:Utu astika rimay	Categoria:Lingue uto-azteche
Katiguriya:Usiyanya	Categoria:Oceania
Lampa	Pala (attrezzo)
Katiguriya:Umalliq (Italya)	Categoria:Presidenti della Repubblica Italiana
Katiguriya:Flora (Allpa pacha)	Categoria:Flora per continente
Katiguriya:Llaqta (Chunwa Republika)	Categoria:Città di Taiwan
Katiguriya:Llaqta (Asya)	Categoria:Città asiatiche
Katiguriya:Llaqta (Arhintina)	Categoria:Centri abitati dell'Argentina
Plantilla:Suyukuna (Watimala)	Template:Dipartimenti del Guatemala
Katiguriya:Llaqta (Aphrika)	Categoria:Città africane
Katiguriya:Suyu (Buliwya)	Categoria:Dipartimenti della Bolivia
Katiguriya:Buenos Aires	Categoria:Buenos Aires
Katiguriya:Wien llaqtapi paqarisqa	Categoria:Persone legate a Vienna
Katiguriya:Mishiku llaqtapi paqarisqa	Categoria:Persone legate a Città del Messico
Katiguriya:Ch'iquy	Categoria:Scultura
Katiguriya:Umalliq (Indunisya)	Categoria:Presidenti dell'Indonesia
Katiguriya:Umalliq (Buliwya)	Categoria:Presidenti della Bolivia
Katiguriya:Umalliq (Uralan Hansuyu)	Categoria:Presidenti della Corea del Sud
Katiguriya:Umalliq (Ihiptu)	Categoria:Presidenti dell'Egitto
Katiguriya:Umalliq (Tunisya)	Categoria:Presidenti della Tunisia
Katiguriya:Watimala	Categoria:Guatemala
Katiguriya:Yanaurqu	Categoria:Montenegro
Katiguriya:Piluta hayt'aq (Manchester United)	Categoria:Calciatori del Manchester United F.C.
Katiguriya:GFDL Rikcha	Categoria:Immagini GFDL
Katiguriya:Arhintinapi rimay	Categoria:Lingue dell'Argentina
Katiguriya:Allpamanta yachaykuna (Aphrika)	Categoria:Geografia dell'Africa
Katiguriya:Nina urqu (Arhintina)	Categoria:Vulcani dell'Argentina
Katiguriya:Tukuy runakunap qhapaq kaynin (Mishiku)	Categoria:Patrimoni dell'umanità del Messico
Katiguriya:Umalliq (Arhintina)	Categoria:Presidenti dell'Argentina
Sanurya	Daucus carota
Katiguriya:Tukuy runakunap qhapaq kaynin (Hukllachasqa Qhapaq Suyu)	Categoria:Patrimoni dell'umanità del Regno Unito
Katiguriya:Llaqta (Mishiku)	Categoria:Centri abitati del Messico
Katiguriya:Kultura (Nurwiga)	Categoria:Cultura della Norvegia
Katiguriya:Kultura (Alimanya)	Categoria:Cultura della Germania
Katiguriya:Kultura (Mishiku)	Categoria:Cultura del Messico
Katiguriya:Kultura (Brasil)	Categoria:Cultura del Brasile
Katiguriya:Kultura (Ispaña)	Categoria:Cultura della Spagna
Katiguriya:Kultura (Arhintina)	Categoria:Cultura dell'Argentina
Katiguriya:Kultura (Ilanda)	Categoria:Cultura dell'Irlanda
Katiguriya:Kultura (Hukllachasqa Qhapaq Suyu)	Categoria:Cultura del Regno Unito
Katiguriya:Kultura (Kulumbya)	Categoria:Cultura della Colombia
Katiguriya:Kultura (Kuba)	Categoria:Cultura di Cuba
Katiguriya:Kultura (Piruw)	Categoria:Cultura del Perù
Katiguriya:Llaqta (Rumanya)	Categoria:Città della Romania
Katiguriya:Llaqta (Malta)	Categoria:Centri abitati di Malta
Katiguriya:Llaqta (Witnam)	Categoria:Città del Vietnam
Katiguriya:Llaqta (Busna-Hirsiquwina)	Categoria:Città della Bosnia ed Erzegovina
Katiguriya:Llaqta (Brasil)	Categoria:Comuni del Brasile
Katiguriya:Llaqta (San Marino)	Categoria:Castelli di San Marino
Katiguriya:Llaqta (Ispaña)	Categoria:Città della Spagna
Katiguriya:Llaqta (Islandya)	Categoria:Comuni dell'Islanda
Katiguriya:Llaqta (Asarsuyu)	Categoria:Città dell'Azerbaigian
Katiguriya:Llaqta (Awstralya)	Categoria:Città dell'Australia
Katiguriya:Llaqta (Italya)	Categoria:Città d'Italia
Katiguriya:Llaqta (Burinkin)	Categoria:Comuni di Porto Rico
Katiguriya:Urqu (Alimanya)	Categoria:Montagne della Germania
Katiguriya:Urqu (Islandya)	Categoria:Montagne dell'Islanda
Katiguriya:Urqu (Ikwadur)	Categoria:Montagne dell'Ecuador
Katiguriya:Urqu (Chili)	Categoria:Montagne del Cile
Katiguriya:Urqu (Piruw)	Categoria:Montagne del Perù
Katiguriya:Wat'a (Grisya)	Categoria:Isole della Grecia
Katiguriya:Wat'a (Suysya)	Categoria:Isole della Svezia
Katiguriya:Qucha (Islandya)	Categoria:Laghi dell'Islanda
Katiguriya:Qucha (Uganda)	Categoria:Laghi dell'Uganda
Katiguriya:Qucha (Tansanya)	Categoria:Laghi della Tanzania
Katiguriya:Qucha (Piruw)	Categoria:Laghi del Perù
Katiguriya:Kultura (Ikwadur)	Categoria:Cultura dell'Ecuador
Katiguriya:Wat'a (Indunisya)	Categoria:Isole dell'Indonesia
Katiguriya:Qucha (Brasil)	Categoria:Laghi del Brasile
Katiguriya:Qucha (Kenya)	Categoria:Laghi del Kenya
Katiguriya:Kultura (Unriya)	Categoria:Cultura dell'Ungheria
Katiguriya:Qucha (Buliwya)	Categoria:Laghi della Bolivia
Katiguriya:Llaqta (Lituwa)	Categoria:Città della Lituania
Katiguriya:Iskusya	Categoria:Scozia
Katiguriya:Winisuylapi rimay	Categoria:Lingue del Venezuela
Katiguriya:Karu puriy (Turkiya)	Categoria:Turismo in Turchia
Katiguriya:Simi kapchiy (Grisya)	Categoria:Letteratura greca
Katiguriya:Simi kapchiy (Bulgarya)	Categoria:Letteratura bulgara
Katiguriya:Simi kapchiy (Ispaña)	Categoria:Letteratura spagnola
Katiguriya:Simi kapchiy (Arhintina)	Categoria:Letteratura argentina
Katiguriya:Simi kapchiy (Piruw)	Categoria:Letteratura peruviana
Katiguriya:Kapchiy (Ispaña)	Categoria:Arte spagnola
Katiguriya:Kapchiy (Italya)	Categoria:Arte italiana
Katiguriya:Musika (Nurwiga)	Categoria:Musica in Norvegia
Katiguriya:Musika (Alimanya)	Categoria:Musica in Germania
Katiguriya:Musika (Buliwya)	Categoria:Musica in Bolivia
Katiguriya:Musika (Ispaña)	Categoria:Musica in Spagna
Katiguriya:Musika (Ikwadur)	Categoria:Musica in Ecuador
Katiguriya:Musika (Awstrya)	Categoria:Musica in Austria
Katiguriya:Musika (Chili)	Categoria:Musica in Cile
Katiguriya:Musika (Piruw)	Categoria:Musica in Perù
Katiguriya:Musika (Ransiya)	Categoria:Musica in Francia
Katiguriya:Musika (Unriya)	Categoria:Musica in Ungheria
Katiguriya:Tukuy runakunap qhapaq kaynin (Luksimbur)	Categoria:Patrimoni dell'umanità del Lussemburgo
Katiguriya:Tukuy runakunap qhapaq kaynin (Buliwya)	Categoria:Patrimoni dell'umanità della Bolivia
Katiguriya:Tukuy runakunap qhapaq kaynin (Brasil)	Categoria:Patrimoni dell'umanità del Brasile
Katiguriya:Tukuy runakunap qhapaq kaynin (Ukranya)	Categoria:Patrimoni dell'umanità dell'Ucraina
Katiguriya:Tukuy runakunap qhapaq kaynin (Chili)	Categoria:Patrimoni dell'umanità del Cile
Katiguriya:Tukuy runakunap qhapaq kaynin (Kambuya)	Categoria:Patrimoni dell'umanità della Cambogia
Katiguriya:Tukuy runakunap qhapaq kaynin (Piruw)	Categoria:Patrimoni dell'umanità del Perù
Punku p'anqa: Mishiku	Portale:Messico
Katiguriya:Chinchay Ilanda	Categoria:Irlanda del Nord
Roberto Martínez Vera-Tudela	Roberto Martínez Vera-Tudela
Katiguriya:Mama llaqta parki (Kulumbya)	Categoria:Parchi nazionali della Colombia
Katiguriya:Mamallaqta parki (Piruw)	Categoria:Parchi nazionali del Perù
Katiguriya:Nina urqu (Islandya)	Categoria:Vulcani dell'Islanda
Katiguriya:Ministru (Piruw)	Categoria:Ministri della Repubblica Peruviana
Katiguriya:Kurku kallpanchaq (Kuba)	Categoria:Sportivi cubani
Katiguriya:Brasilpi rimay	Categoria:Lingue del Brasile
Katiguriya:Simi kapchiy (Ilanda)	Categoria:Letteratura irlandese
Katiguriya:Simi kapchiy (Kulumbya)	Categoria:Letteratura colombiana
Katiguriya:Kapchiy (Arhintina)	Categoria:Arte argentina
Katiguriya:Musika (Arhintina)	Categoria:Musica in Argentina
Katiguriya:Kapchiq (Alimanya)	Categoria:Artisti tedeschi
Sinqa suntu	Curculionidae
