Āfrika	Africa
Veidne:Str right	Template:Str right
Kategorija:Dienvidslāvu kinorežisori	Categoria:Registi jugoslavi
Kategorija:Cionisti	Categoria:Sionisti
Kategorija:Zebrahead albumi	Categoria:Album degli Zebrahead
Kategorija:Kosmologi	Categoria:Cosmologi
Kategorija:Kanādas kosmonautika	Categoria:Astronautica in Canada
Kategorija:Pasaules kauss kalnu slēpošanā	Categoria:Coppa del Mondo di sci alpino
Kategorija:Somālijas vieglatlēti	Categoria:Atleti somali
Kategorija:Xbox	Categoria:Xbox
Kategorija:Krievu literatūrzinātnieki	Categoria:Storici della letteratura russi
Kategorija:Vācijas distanču slēpotāji	Categoria:Fondisti tedeschi
Kategorija:Itālijas distanču slēpotāji	Categoria:Fondisti italiani
Kategorija:Latvijas distanču slēpotāji	Categoria:Fondisti lettoni
Kategorija:Polijas distanču slēpotāji	Categoria:Fondisti polacchi
Kategorija:Cilvēki, kas izkāpuši uz Mēness	Categoria:Persone che hanno camminato sulla Luna
Kategorija:Luterāņu teologi	Categoria:Teologi luterani
Kategorija:Vieglatlētika Kenijā	Categoria:Atletica leggera in Kenya
Kategorija:Vieglatlētika Latvijā	Categoria:Atletica leggera in Lettonia
Kategorija:Vieglatlētika Norvēģijā	Categoria:Atletica leggera in Norvegia
Veidne:Diff	Template:Diff
Kategorija:Specefektu mākslinieki	Categoria:Artisti degli effetti speciali cinematografici
Kategorija:Matemātiskās spēles	Categoria:Giochi matematici
Kategorija:Apbalvojumi matemātikā	Categoria:Premi matematici
Kategorija:WRC ralliji	Categoria:Prove del Campionato del mondo rally
Kategorija:Pasaules rallija čempionāts	Categoria:Campionato del mondo rally
Kategorija:Kurta Vonnegūta darbi	Categoria:Opere di Kurt Vonnegut
Kategorija:Franca Kafkas darbi	Categoria:Opere di Franz Kafka
Kategorija:Telpu futbols Latvijā	Categoria:Calcio a 5 in Lettonia
Kategorija:Latvijas telpu futbola klubi	Categoria:Squadre lettoni di calcio a 5
Trojani	Trojany
Kategorija:Viljams Šekspīrs	Categoria:William Shakespeare
Urla (nozīmju atdalīšana)	Urla
Kategorija:Čukotkas autonomais apvidus	Categoria:Circondario autonomo della Čukotka
Kategorija:Polijas motosportisti	Categoria:Piloti motociclistici polacchi
Kategorija:Kazahstānas mūzikas grupas	Categoria:Gruppi musicali kazaki
Kategorija:Trokšņu mūzikas grupas	Categoria:Gruppi musicali noise
Kategorija:Apbalvojumi pēc nozares	Categoria:Premi per argomento
Kategorija:Āzijas zemesragi	Categoria:Capi e promontori dell'Asia
Kategorija:NBA sezonas	Categoria:Stagioni NBA
Kategorija:Vasaras Olimpisko spēļu sporta veidu navigācijas veidnes	Categoria:Template di navigazione - Giochi olimpici estivi
Kategorija:Lietuvas navigācijas veidnes	Categoria:Template di navigazione - Lituania
Kategorija:Vanagveidīgie	Categoria:Accipitriformes
Kategorija:Lietuviešu valoda	Categoria:Lingua lituana
Kategorija:Balkāni	Categoria:Balcani
Kategorija:Austrālijas līči	Categoria:Baie dell'Australia
Kategorija:Kājnieki	Categoria:Fanteria
Kategorija:Raksti, kam vajadzīga infokaste	Categoria:Aggiungere template
Kategorija:Aizsargāšanas veidnes	Categoria:Template di blocco pagine
Veidne:TV sērijas infokaste	Template:Episodio SerieTV
Kategorija:Nacionālistiskās partijas	Categoria:Partiti nazionalisti
Kategorija:Basketbola līgas	Categoria:Competizioni cestistiche nazionali
Kategorija:Rakstnieki pēc valodas	Categoria:Scrittori per lingua
Kategorija:Nepabeigti raksti par Kamerūnas futbolistiem	Categoria:Stub - calciatori camerunesi
Kategorija:Nepabeigti raksti par Lietuvas futbolistiem	Categoria:Stub - calciatori lituani
Kategorija:FIFA neatzītās futbola izlases	Categoria:Nazionali e selezioni calcistiche non affiliate alla FIFA
Kategorija:Trokšņu roka grupas	Categoria:Gruppi musicali noise rock
Kategorija:Mobilo ierīču operētājsistēmas	Categoria:Sistemi per dispositivi portatili
Kategorija:Latvijas operdziedātāji	Categoria:Cantanti lirici lettoni
Kategorija:Senās Grieķijas oratori	Categoria:Retori greci antichi
Kategorija:Latvijas ērģelnieki	Categoria:Organisti lettoni
Kategorija:Latvijas īpaši aizsargājamās dabas teritorijas	Categoria:Aree naturali protette della Lettonia
Kategorija:PSRS dziedātāji	Categoria:Cantanti sovietici
Kategorija:The Beatles dziesmas	Categoria:Brani musicali dei The Beatles
Mīnmetējs	Mortaio
Kategorija:Angļu valoda	Categoria:Lingua inglese
Veidne:Olimpiskās spēles Ātrslidošana	Template:Pattinaggio velocità olimpiadi
Kategorija:NASA administratori	Categoria:Amministratori della NASA
Kategorija:Cilvēki no Tartu	Categoria:Persone legate a Tartu
Vilis Olavs	Vilis Olavs
Kategorija:Maršrutēšanas protokoli	Categoria:Protocolli di routing
Veidne:Basketbols Olimpiskajās spēlēs	Template:PallacanestroOlimpiadi
Kategorija:Britu mākslinieki	Categoria:Artisti britannici
Kategorija:Nepabeigti raksti par politiķiem	Categoria:Stub - politici
Kategorija:Nine Inch Nails dziesmas	Categoria:Brani musicali dei Nine Inch Nails
Kategorija:Rammstein dziesmas	Categoria:Brani musicali dei Rammstein
Kategorija:Džastina Timberleika dziesmas	Categoria:Brani musicali di Justin Timberlake
Kategorija:Keitijas Perijas dziesmas	Categoria:Brani musicali di Katy Perry
Kategorija:Kinoakadēmijas balvas ieguvējas dziesmas	Categoria:Brani musicali vincitori del premio Oscar alla migliore canzone
Kategorija:Latvijas mākslinieki	Categoria:Artisti lettoni
Kategorija:13. gadsimta rakstnieki	Categoria:Scrittori del XIII secolo
Kategorija:14. gadsimta rakstnieki	Categoria:Scrittori del XIV secolo
Kategorija:18. gadsimta rakstnieki	Categoria:Scrittori del XVIII secolo
Kategorija:17. gadsimta rakstnieki	Categoria:Scrittori del XVII secolo
Kategorija:Lielbritānijas peldētāji	Categoria:Nuotatori britannici
Kategorija:Senās Grieķijas valstvīri	Categoria:Politici greci antichi
Kategorija:Zoodārzi	Categoria:Giardini zoologici
Kategorija:Cionisms	Categoria:Sionismo
Kategorija:Šauļi	Categoria:Šiauliai
Veidne:Radīti skatuvei	Template:Glee
Veidne:Krāsas infokaste	Template:Infobox colore
Kategorija:Enerģijas uzglabāšana	Categoria:Immagazzinamento dell'energia
Kategorija:Spānijas valsts vadītāji	Categoria:Capi di Stato spagnoli
Kategorija:Francijas garīdznieki	Categoria:Religiosi francesi
Kategorija:Eiropas Parlamenta prezidenti	Categoria:Presidenti del Parlamento europeo
Kategorija:Kulta filmas	Categoria:Film religiosi
Vikiprojekts:Sports	Progetto:Sport
Kategorija:Dmitrija Šostakoviča muzikālās kompozīcijas	Categoria:Composizioni di Dmitrij Dmitrievič Šostakovič
Kategorija:Komponisti	Categoria:Compositori
Kategorija:Gliksburgu dinastija	Categoria:Schleswig-Holstein-Sonderburg-Glücksburg
Kategorija:Meksikas Grand Prix	Categoria:Gran Premio del Messico
Veidne:Latvijas rajoni	Template:Distretti della Lettonia
Kategorija:Latvijas modernās pieccīņas sportisti	Categoria:Pentatleti lettoni
Kategorija:Lietuvas modernās pieccīņas sportisti	Categoria:Pentatleti lituani
Kategorija:Latvijas radio stacijas	Categoria:Emittenti radiofoniche lettoni
Kategorija:Lietuvas kultūrvēsturiskie novadi	Categoria:Regioni della Lituania
Kategorija:Šveices garīdznieki	Categoria:Religiosi svizzeri
Kategorija:Igaunijas garīdznieki	Categoria:Religiosi estoni
Kategorija:Ašgabatā dzimušie	Categoria:Nati ad Aşgabat
Kategorija:Valkā dzimušie	Categoria:Nati a Valka
Kategorija:Valmierā dzimušie	Categoria:Nati a Valmiera
Kategorija:Motosports	Categoria:Motociclismo
Kategorija:Norvēģijas vēsture	Categoria:Storia della Norvegia
Kategorija:Ventspilī dzimušie	Categoria:Nati a Ventspils
Kategorija:Viskonsinā dzimušie	Categoria:Nati in Wisconsin
Veidne:Futbola vikiprojekta dalībnieks	Template:Utente Progetto Calcio
Kategorija:Gruzijā dzimušie	Categoria:Nati in Georgia
Kategorija:Delavērā dzimušie	Categoria:Nati in Delaware
Kategorija:Jēkabpilī dzimušie	Categoria:Nati a Jēkabpils
Kategorija:Jelgavā dzimušie	Categoria:Nati a Jelgava
Kategorija:Āzijas valstis	Categoria:Stati dell'Asia
Kategorija:Ungāru mākslinieki	Categoria:Artisti ungheresi
Kategorija:Kanzasā dzimušie	Categoria:Nati in Kansas
Kategorija:1921. gada filmas	Categoria:Film del 1921
Kategorija:Latvijā dzimušie	Categoria:Nati in Lettonia
Kategorija:Liepājā dzimušie	Categoria:Nati a Liepāja
Kategorija:Mērilendā dzimušie	Categoria:Nati in Maryland
Kategorija:Narvā dzimušie	Categoria:Nati a Narva (città)
Kategorija:Nebraskā dzimušie	Categoria:Nati in Nebraska
Kategorija:Ņūhempšīrā dzimušie	Categoria:Nati in New Hampshire
Kategorija:Ņūdžersijā dzimušie	Categoria:Nati in New Jersey
Kategorija:Ņujorkā dzimušie	Categoria:Nati a New York
Kategorija:Ņūmeksikā dzimušie	Categoria:Nati in Nuovo Messico
Kategorija:Ogrē dzimušie	Categoria:Nati a Ogre (Lettonia)
Kategorija:Oklahomā dzimušie	Categoria:Nati in Oklahoma
Veidne:Krēsla	Template:Twilight
Kategorija:Rēzeknē dzimušie	Categoria:Nati a Rēzekne
Kategorija:Rodailendā dzimušie	Categoria:Nati in Rhode Island
Veidne:G8	Template:G8
Veidne:Pink Floyd	Template:Pink Floyd
Kategorija:Turkmenistānā dzimušie	Categoria:Nati in Turkmenistan
Kategorija:Futbola notikumi pēc gada	Categoria:Calcio per anno
Kategorija:XML	Categoria:XML
Veidne:Vudijs Allens	Template:Film di Woody Allen
Kategorija:Jūrmalā dzimušie	Categoria:Nati a Jūrmala
Kategorija:Jūtā dzimušie	Categoria:Nati in Utah
Veidne:X-lidmašīnas	Template:Aerei X
Kategorija:Almati	Categoria:Almaty
Veidne:Terminators	Template:Terminator
Kategorija:Antiutopiski romāni	Categoria:Romanzi distopici
Kategorija:1838. gada romāni	Categoria:Romanzi del 1838
Veidne:Norvēģijas teritorijas	Template:Oltremare norvegese
Kategorija:1845. gada romāni	Categoria:Romanzi del 1845
Kategorija:1852. gada romāni	Categoria:Romanzi del 1852
Kategorija:1862. gada romāni	Categoria:Romanzi del 1862
Kategorija:1865. gada romāni	Categoria:Romanzi del 1865
Kategorija:1866. gada romāni	Categoria:Romanzi del 1866
Kategorija:1884. gada romāni	Categoria:Romanzi del 1884
Kategorija:1939. gada romāni	Categoria:Romanzi del 1939
Kategorija:1954. gada romāni	Categoria:Romanzi del 1954
Kategorija:1985. gada romāni	Categoria:Romanzi del 1985
Kategorija:1997. gada romāni	Categoria:Romanzi del 1997
Kategorija:2003. gada romāni	Categoria:Romanzi del 2003
Veidne:Metallica	Template:Metallica
Veidne:Mailijas Sairusas dziesmas	Template:Miley Cyrus
Veidne:Mārtins Skorsēze	Template:Film di Martin Scorsese
Veidne:UEFA līgas	Template:Campionati UEFA
Kategorija:Aleksandra Puškina darbi	Categoria:Opere di Aleksandr Puškin
Veidne:Bada spēles	Template:Hunger Games
Autoimūna slimība	Malattia autoimmune
Kategorija:Itāliešu mākslinieki	Categoria:Artisti italiani
Kategorija:Austriešu mākslinieki	Categoria:Artisti austriaci
Veidne:Rammstein	Template:Rammstein
Kategorija:PC spēles	Categoria:Videogiochi per Windows
Veidne:Džeimsa Bonda filmas	Template:Film James Bond
Kategorija:Robežas	Categoria:Confini
Kategorija:Filozofijas vēsture	Categoria:Storia della filosofia
Kategorija:Kanādas fotomodeļi	Categoria:Modelli canadesi
Kategorija:Ģenerāļi	Categoria:Generali
Veidne:Nobela Miera prēmijas laureāti	Template:Premio Nobel per la pace
Veidne:Recenzijas atzīmēšana	Template:Vaglio
Veidne:Anglijas futbola izlase - FIFA 2010	Template:Nazionale inglese mondiali 2010
Veidne:Spānijas futbola izlase - FIFA 2006	Template:Nazionale spagnola mondiali 2006
Kategorija:Lietotāji, kuri dzīvo Kanādā	Categoria:Utenti dal Canada
Veidne:SKS komponenti	Template:Moduli della ISS
Veidne:Stīvens Spīlbergs	Template:Film di Steven Spielberg
Veidne:Nigērijas administratīvais iedalījums	Template:Stati della Nigeria
Kategorija:Vikipēdijas statistika	Categoria:Statistiche di Wikipedia
Kategorija:15. gadsimta filozofi	Categoria:Filosofi del XV secolo
Kategorija:16. gadsimta filozofi	Categoria:Filosofi del XVI secolo
Veidne:User mk	Template:Utente mk
Veidne:User lt-1	Template:Utente lt-1
Veidne:User be-3	Template:Utente be-3
Veidne:User be-1	Template:Utente be-1
Veidne:Suboff	Template:Sostout
Veidne:Sa kart	Template:Cartellinorosso
Veidne:Rm ikona	Template:Rm
Kategorija:Tiesību teorija	Categoria:Teoria del diritto
Veidne:Mk ikona	Template:Mk
Kategorija:1877. gada romāni	Categoria:Romanzi del 1877
Kategorija:Celtnes un būves Lietuvā	Categoria:Architetture della Lituania
Kategorija:1896. gads sportā	Categoria:Sport nel 1896
Veidne:VietasKarte Kokosa (Kīlinga) salas	Template:Mappa di localizzazione/CCK
Veidne:VietasKarte Bermudas	Template:Mappa di localizzazione/BMU
Kategorija:1900. gads sportā	Categoria:Sport nel 1900
Kategorija:1903. gads sportā	Categoria:Sport nel 1903
Veidne:Val-sl	Template:Sloveno
Kategorija:1904. gada Vasaras Olimpiskās spēles	Categoria:Giochi della III Olimpiade
Kategorija:1904. gads sportā	Categoria:Sport nel 1904
Kategorija:1905. gads sportā	Categoria:Sport nel 1905
Kategorija:1906. gada neoficiālās Olimpiskās spēles	Categoria:Giochi olimpici intermedi
Kategorija:1906. gads sportā	Categoria:Sport nel 1906
Kategorija:1908. gada Vasaras Olimpiskās spēles	Categoria:Giochi della IV Olimpiade
Kategorija:Kriptogrāfi	Categoria:Crittografi
Kategorija:1908. gads sportā	Categoria:Sport nel 1908
Kategorija:1909. gads sportā	Categoria:Sport nel 1909
Veidne:Val-ka	Template:Georgiano
Kategorija:1912. gads sportā	Categoria:Sport nel 1912
Kategorija:1916. gada Vasaras Olimpiskās spēles	Categoria:Giochi della VI Olimpiade
Kategorija:1916. gads sportā	Categoria:Sport nel 1916
Veidne:Augstākā līmeņa domēna infokaste	Template:Dominio di primo livello
Kategorija:1920. gada filmas	Categoria:Film del 1920
Kategorija:1920. gads sportā	Categoria:Sport nel 1920
Kategorija:1922. gads futbolā	Categoria:Calcio nel 1922
Kategorija:1922. gads sportā	Categoria:Sport nel 1922
Kategorija:Statistiķi	Categoria:Statistici
Kategorija:1923. gads sportā	Categoria:Sport nel 1923
Kategorija:1924. gada Ziemas Olimpisko spēļu disciplīnas	Categoria:Sport ai I Giochi olimpici invernali
Kategorija:1924. gada Ziemas Olimpiskās spēles	Categoria:I Giochi olimpici invernali
Kategorija:1924. gads sportā	Categoria:Sport nel 1924
Kategorija:1925. gads sportā	Categoria:Sport nel 1925
Kategorija:1926. gads sportā	Categoria:Sport nel 1926
Kategorija:1927. gads sportā	Categoria:Sport nel 1927
Kategorija:1928. gada Ziemas Olimpiskās spēles	Categoria:II Giochi olimpici invernali
Kategorija:1928. gads futbolā	Categoria:Calcio nel 1928
Kategorija:1928. gads sportā	Categoria:Sport nel 1928
Kategorija:1929. gads futbolā	Categoria:Calcio nel 1929
Kategorija:1929. gads sportā	Categoria:Sport nel 1929
Kategorija:1930. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1930
Kategorija:1930. gads futbolā	Categoria:Calcio nel 1930
Kategorija:1930. gads sportā	Categoria:Sport nel 1930
Kategorija:Krievijas valdības vadītāji	Categoria:Primi ministri della Russia
Kategorija:Lasvegasa	Categoria:Las Vegas
Kategorija:1931. gads futbolā	Categoria:Calcio nel 1931
Kategorija:1931. gads sportā	Categoria:Sport nel 1931
Kategorija:1932. gada Ziemas Olimpiskās spēles	Categoria:III Giochi olimpici invernali
Kategorija:1932. gada Vasaras Olimpiskās spēles	Categoria:Giochi della X Olimpiade
Kategorija:Austrijas Grand Prix	Categoria:Gran Premio d'Austria
Kategorija:Argentīnas Grand Prix	Categoria:Gran Premio d'Argentina
Kategorija:Spānijas Grand Prix	Categoria:Gran Premio di Spagna
Kategorija:Austrālijas Grand Prix	Categoria:Gran Premio d'Australia
Kategorija:Malaizijas Grand Prix	Categoria:Gran Premio della Malesia
Kategorija:1933. gads futbolā	Categoria:Calcio nel 1933
Kategorija:Brazīlijas Grand Prix	Categoria:Gran Premio del Brasile
Kategorija:Bahreinas Grand Prix	Categoria:Gran Premio del Bahrein
Kategorija:Itālijas Grand Prix	Categoria:Gran Premio d'Italia
Kategorija:1933. gads sportā	Categoria:Sport nel 1933
Kategorija:Beļģijas Grand Prix	Categoria:Gran Premio del Belgio
Kategorija:Ungārijas Grand Prix	Categoria:Gran Premio d'Ungheria
Kategorija:1934. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1934
Kategorija:1934. gads futbolā	Categoria:Calcio nel 1934
Kategorija:1934. gads sportā	Categoria:Sport nel 1934
Kategorija:1935. gada filmas	Categoria:Film del 1935
Kategorija:1936. gada Ziemas Olimpiskās spēles	Categoria:IV Giochi olimpici invernali
Kategorija:1936. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XI Olimpiade
Kategorija:1936. gads futbolā	Categoria:Calcio nel 1936
Kategorija:1937. gads futbolā	Categoria:Calcio nel 1937
Kategorija:1937. gads sportā	Categoria:Sport nel 1937
Kategorija:1938. gads futbolā	Categoria:Calcio nel 1938
Kategorija:1938. gads sportā	Categoria:Sport nel 1938
Kategorija:1939. gads futbolā	Categoria:Calcio nel 1939
Kategorija:1940. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XII Olimpiade
Kategorija:1940. gads futbolā	Categoria:Calcio nel 1940
Kategorija:1940. gads sportā	Categoria:Sport nel 1940
Kategorija:PSRS peldētāji	Categoria:Nuotatori sovietici
Kategorija:1941. gads sportā	Categoria:Sport nel 1941
Kategorija:1942. gads futbolā	Categoria:Calcio nel 1942
Kategorija:1942. gads sportā	Categoria:Sport nel 1942
Kategorija:Īrijas riteņbraucēji	Categoria:Ciclisti irlandesi
Kategorija:1943. gads sportā	Categoria:Sport nel 1943
Kategorija:1944. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XIII Olimpiade
Kategorija:1944. gads sportā	Categoria:Sport nel 1944
Kategorija:1945. gads sportā	Categoria:Sport nel 1945
Veidne:Fo ikona	Template:Fo
Kategorija:1946. gads sportā	Categoria:Sport nel 1946
Kategorija:1947. gada filmas	Categoria:Film del 1947
Kategorija:Basketbols Somijā	Categoria:Pallacanestro in Finlandia
Kategorija:1948. gada Ziemas Olimpiskās spēles	Categoria:V Giochi olimpici invernali
Kategorija:1948. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XIV Olimpiade
Kategorija:1948. gada filmas	Categoria:Film del 1948
Kategorija:1948. gads sportā	Categoria:Sport nel 1948
Kategorija:1949. gada filmas	Categoria:Film del 1949
Kategorija:1950. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1950
Kategorija:1950. gads futbolā	Categoria:Calcio nel 1950
Kategorija:1950. gads sportā	Categoria:Sport nel 1950
Kategorija:1951. gads sportā	Categoria:Sport nel 1951
Kategorija:1952. gada Ziemas Olimpiskās spēles	Categoria:VI Giochi olimpici invernali
Kategorija:1952. gads sportā	Categoria:Sport nel 1952
Kategorija:1953. gads sportā	Categoria:Sport nel 1953
Kategorija:1954. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1954
Kategorija:1954. gads futbolā	Categoria:Calcio nel 1954
Kategorija:Veimāras republika	Categoria:Repubblica di Weimar
Kategorija:1954. gads sportā	Categoria:Sport nel 1954
Kategorija:1955. gads sportā	Categoria:Sport nel 1955
Kategorija:1956. gada Ziemas Olimpiskās spēles	Categoria:VII Giochi olimpici invernali
Kategorija:1956. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XVI Olimpiade
Kategorija:1956. gads sportā	Categoria:Sport nel 1956
Veidne:CXR	Template:CXR
Kategorija:1957. gads sportā	Categoria:Sport nel 1957
Kategorija:1958. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1958
Kategorija:1958. gads futbolā	Categoria:Calcio nel 1958
Kategorija:1958. gads sportā	Categoria:Sport nel 1958
Kategorija:1959. gads sportā	Categoria:Sport nel 1959
Kategorija:1960. gada Eiropas čempionāts futbolā	Categoria:Campionato europeo di calcio 1960
Kategorija:1960. gada Ziemas Olimpiskās spēles	Categoria:VIII Giochi olimpici invernali
Kategorija:1960. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XVII Olimpiade
Kategorija:1960. gads futbolā	Categoria:Calcio nel 1960
Kategorija:1960. gads sportā	Categoria:Sport nel 1960
Kategorija:1961. gads sportā	Categoria:Sport nel 1961
Kategorija:1962. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1962
Kategorija:1962. gads sportā	Categoria:Sport nel 1962
Kategorija:1963. gads sportā	Categoria:Sport nel 1963
Kategorija:1964. gada Eiropas čempionāts futbolā	Categoria:Campionato europeo di calcio 1964
Kategorija:1964. gada Ziemas Olimpiskās spēles	Categoria:IX Giochi olimpici invernali
Kategorija:1964. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XVIII Olimpiade
Kategorija:1964. gads futbolā	Categoria:Calcio nel 1964
Kategorija:1964. gads sportā	Categoria:Sport nel 1964
Kategorija:1965. gads sportā	Categoria:Sport nel 1965
Kategorija:1966. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1966
Kategorija:1966. gads sportā	Categoria:Sport nel 1966
Kategorija:1967. gads sportā	Categoria:Sport nel 1967
Kategorija:1968. gada Ziemas Olimpiskās spēles	Categoria:X Giochi olimpici invernali
Kategorija:1968. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XIX Olimpiade
Kategorija:1968. gads futbolā	Categoria:Calcio nel 1968
Kategorija:1968. gads sportā	Categoria:Sport nel 1968
Kategorija:1969. gads mūzikā	Categoria:Musica nel 1969
Kategorija:1969. gads sportā	Categoria:Sport nel 1969
Kategorija:1970. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1970
Kategorija:1970. gads futbolā	Categoria:Calcio nel 1970
Kategorija:1970. gads mūzikā	Categoria:Musica nel 1970
Kategorija:1970. gads sportā	Categoria:Sport nel 1970
Kategorija:1971. gads mūzikā	Categoria:Musica nel 1971
Kategorija:1971. gads sportā	Categoria:Sport nel 1971
Kategorija:1972. gada Ziemas Olimpiskās spēles	Categoria:XI Giochi olimpici invernali
Kategorija:1972. gads futbolā	Categoria:Calcio nel 1972
Kategorija:1972. gads sportā	Categoria:Sport nel 1972
Kategorija:1973. gads mūzikā	Categoria:Musica nel 1973
Kategorija:1974. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1974
Kategorija:1974. gads futbolā	Categoria:Calcio nel 1974
Kategorija:1974. gads mūzikā	Categoria:Musica nel 1974
Kategorija:1974. gads sportā	Categoria:Sport nel 1974
Kategorija:Ūdenspolo spēlētāji	Categoria:Pallanuotisti
Kategorija:1975. gads mūzikā	Categoria:Musica nel 1975
Kategorija:1975. gads sportā	Categoria:Sport nel 1975
Kategorija:Ūdenspolo Olimpiskajās spēlēs	Categoria:Pallanuoto ai Giochi olimpici
Kategorija:1976. gada Ziemas Olimpiskās spēles	Categoria:XII Giochi olimpici invernali
Kategorija:1976. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XXI Olimpiade
Kategorija:1976. gads futbolā	Categoria:Calcio nel 1976
Kategorija:1976. gads mūzikā	Categoria:Musica nel 1976
Kategorija:1976. gads sportā	Categoria:Sport nel 1976
Kategorija:1977. gads mūzikā	Categoria:Musica nel 1977
Kategorija:1977. gads sportā	Categoria:Sport nel 1977
Kategorija:1978. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1978
Kategorija:1978. gads futbolā	Categoria:Calcio nel 1978
Kategorija:1978. gads mūzikā	Categoria:Musica nel 1978
Kategorija:1978. gads sportā	Categoria:Sport nel 1978
Kategorija:1979. gads sportā	Categoria:Sport nel 1979
Kategorija:1980. gads futbolā	Categoria:Calcio nel 1980
Kategorija:Vašingtonas @@@u0026Wizards"	Categoria:Washington Wizards
Kategorija:1981. gads mūzikā	Categoria:Musica nel 1981
Kategorija:1982. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1982
Kategorija:1982. gads futbolā	Categoria:Calcio nel 1982
Kategorija:1982. gads mūzikā	Categoria:Musica nel 1982
Kategorija:1982. gads sportā	Categoria:Sport nel 1982
Kategorija:Vašingtona	Categoria:Washington D.C.
Kategorija:1983. gads mūzikā	Categoria:Musica nel 1983
Kategorija:1983. gads sportā	Categoria:Sport nel 1983
Kategorija:1984. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XXIII Olimpiade
Kategorija:1984. gada Ziemas Olimpiskās spēles	Categoria:XIV Giochi olimpici invernali
Kategorija:1984. gads futbolā	Categoria:Calcio nel 1984
Kategorija:1984. gads sportā	Categoria:Sport nel 1984
Kategorija:Kari ar Kartāgu	Categoria:Guerre puniche
Kategorija:1985. gads mūzikā	Categoria:Musica nel 1985
Kategorija:1986. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1986
Kategorija:Makroekonomika	Categoria:Macroeconomia
Kategorija:Abū Dabī Grand Prix	Categoria:Gran Premio di Abu Dhabi
Kategorija:Ķīnas Grand Prix	Categoria:Gran Premio di Cina
Kategorija:Kanādas Grand Prix	Categoria:Gran Premio del Canada
Kategorija:1986. gads futbolā	Categoria:Calcio nel 1986
Kategorija:Eiropas Grand Prix	Categoria:Gran Premio d'Europa
Kategorija:Bada spēles	Categoria:Hunger Games
Kategorija:1986. gads sportā	Categoria:Sport nel 1986
Kategorija:1987. gads futbolā	Categoria:Calcio nel 1987
Kategorija:1987. gads mūzikā	Categoria:Musica nel 1987
Kategorija:1987. gads sportā	Categoria:Sport nel 1987
Kategorija:1988. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XXIV Olimpiade
Kategorija:Elektroniskās mūzikas albumi	Categoria:Album di musica elettronica
Kategorija:1988. gads futbolā	Categoria:Calcio nel 1988
Kategorija:1988. gads sportā	Categoria:Sport nel 1988
Kategorija:Glezniecības tehnikas	Categoria:Tecniche pittoriche
Kategorija:17. gadsimta filozofi	Categoria:Filosofi del XVII secolo
Kategorija:1989. gads mūzikā	Categoria:Musica nel 1989
Kategorija:1989. gads sportā	Categoria:Sport nel 1989
Kategorija:1990. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1990
Kategorija:Riteņbraukšanas veidnes	Categoria:Template ciclismo
Kategorija:Likumi	Categoria:Leggi
Kategorija:1992. gada Ziemas Olimpiskās spēles	Categoria:XVI Giochi olimpici invernali
Kategorija:1992. gada Vasaras Olimpiskās spēles	Categoria:Giochi della XXV Olimpiade
Kategorija:1992. gads mūzikā	Categoria:Musica nel 1992
Kategorija:1993. gads futbolā	Categoria:Calcio nel 1993
Kategorija:1993. gads mūzikā	Categoria:Musica nel 1993
Kategorija:1993. gads sportā	Categoria:Sport nel 1993
Kategorija:1994. gada FIFA Pasaules kauss	Categoria:Campionato mondiale di calcio 1994
Kategorija:1994. gada Ziemas Olimpiskās spēles	Categoria:XVII Giochi olimpici invernali
Kategorija:1994. gada F1 sezona	Categoria:Formula 1 1994
Kategorija:1994. gads futbolā	Categoria:Calcio nel 1994
Kategorija:1994. gads mūzikā	Categoria:Musica nel 1994
Kategorija:1994. gads sportā	Categoria:Sport nel 1994
Kategorija:1995. gads futbolā	Categoria:Calcio nel 1995
Kategorija:Volejbola navigācijas veidnes Vasaras Olimpiskajās spēlēs	Categoria:Template di navigazione - Pallavolo ai Giochi olimpici
