Afrik	Africa
Dale, Pennsilvani	Dale (Pennsylvania)
Canton, Pennsilvani	Canton (contea di Bradford)
Cresson, Pennsilvani	Cresson (Pennsylvania)
Big Beaver, Pennsilvani	Big Beaver
Chalfant, Pennsilvani	Chalfant (Pennsylvania)
Fairfield, Pennsilvani	Fairfield (Contea di Adams, Pennsylvania)
Alba, Pennsilvani	Alba (Pennsylvania)
Dravosburg, Pennsilvani	Dravosburg
Biglerville, Pennsilvani	Biglerville
Edgeworth, Pennsilvani	Edgeworth (Pennsylvania)
Beaver Falls, Pennsilvani	Beaver Falls
Eastvale, Pennsilvani	Eastvale (Pennsylvania)
Bellevue, Pennsilvani	Bellevue (Pennsylvania)
Dublin, Pennsilvani	Dublin (contea di Bucks)
Bernville, Pennsilvani	Bernville
Plant ki gen fèy kadik	Deciduo
Carnegie, Pennsilvani	Carnegie (Pennsylvania)
Boyertown, Pennsilvani	Boyertown
Jean Bernabé	Jean Bernabé
Bristol, Pennsilvani	Bristol (Pennsylvania)
Arendtsville, Pennsilvani	Arendtsville
Franklin Park, Pennsilvani	Franklin Park (Pennsylvania)
Applewold, Pennsilvani	Applewold
Bridgewater, Pennsilvani	Bridgewater (contea di Beaver, Pennsylvania)
Brentwood, Pennsilvani	Brentwood (Pennsylvania)
Fleetwood, Pennsilvani	Fleetwood (Pennsylvania)
Bradfordwoods, Pennsilvani	Bradford Woods
Beech Creek, Pennsilvani	Beech Creek
Baldwin, Pennsilvani	Baldwin (Pennsylvania)
Cheswick, Pennsilvani	Cheswick
Bethel Park, Pennsilvani	Bethel Park
Chest Springs, Pennsilvani	Chest Springs
Darlington, Pennsilvani	Darlington (Pennsylvania)
Brownsville, Pennsilvani	Brownsville (Pennsylvania)
Bonneauville, Pennsilvani	Bonneauville
Braddock, Pennsilvani	Braddock (Pennsylvania)
Avalon, Pennsilvani	Avalon (Pennsylvania)
Cassandra, Pennsilvani	Cassandra (Pennsylvania)
East McKeesport, Pennsilvani	East McKeesport
Braddock Hills, Pennsilvani	Braddock Hills
Dormont, Pennsilvani	Dormont
Clairton, Pennsilvani	Clairton
Ehrenfeld, Pennsilvani	Ehrenfeld
Coatesville, Pennsilvani	Coatesville (Pennsylvania)
Burlington, Pennsilvani	Burlington (Pennsylvania)
Ellwood City, Pennsilvani	Ellwood City
Beaver, Pennsilvani	Beaver (contea di Beaver, Pennsylvania)
Abner	Abner
Abbottstown, Pennsilvani	Abbottstown
Bedford, Pennsilvani	Bedford (Pennsylvania)
Castle Shannon, Pennsilvani	Castle Shannon
Conway, Pennsilvani	Conway (Pennsylvania)
Ferndale, Pennsilvani	Ferndale (Pennsylvania)
Emsworth, Pennsilvani	Emsworth (Pennsylvania)
Daisytown, Pennsilvani	Daisytown
East Conemaugh, Pennsilvani	East Conemaugh
Frankfort Springs, Pennsilvani	Frankfort Springs
Folcroft, Pennsilvani	Folcroft (Pennsylvania)
Corrado Segre	Corrado Segre
Jonestown, Texas	Jonestown (Texas)
Elías Piña	Provincia di Elías Piña
Barahona	Provincia di Barahona
Cowpens, Kawolin disid	Cowpens
La fémis	La Fémis
Dajabón (provens)	Provincia di Dajabón
La Romana (provens)	Provincia di La Romana
Gastrila	Gastrulazione
Moreau de Saint-Méry	Médéric Louis Élie Moreau de Saint-Méry
Burlington, Washington	Burlington (Washington)
Saratoga Springs, New York	Saratoga Springs (New York)
Hazard, Kentucky	Hazard (Kentucky)
Camden, Kawolin disid	Camden (Carolina del Sud)
Blaine, Washington	Blaine (Washington)
Saint Matthews, Kentucky	St. Matthews (Kentucky)
Great Barrington, Massachusetts	Great Barrington
Samaná (provens)	Provincia di Samaná
Pomeroy, Washington	Pomeroy (Washington)
Amoni	Armonica (fisica)
Kingston, Tennessee	Kingston (Tennessee)
Pawhuska, Oklahoma	Pawhuska
Monroe, Georgie	Monroe (Georgia)
Rose Hill, Kansas	Rose Hill (Kansas)
Anderson, Kawolin disid	Anderson (Carolina del Sud)
Baker City, Oregon	Baker City
Meditations	Colloqui con sé stesso
Opelousas, Lwizyana	Opelousas
Transpò pasif	Trasporto passivo
Pulpí (Almería)	Pulpí
Fiñana (Almería)	Fiñana
Benahadux (Almería)	Benahadux
Vera (Almería)	Vera (Spagna)
Canjáyar (Almería)	Canjáyar
Bacares (Almería)	Bacares
María (Almería)	María
Illar (Almería)	Illar
Arboleas (Almería)	Arboleas
Danbury, New Hampshire	Danbury (New Hampshire)
Reyaksyon an chenn	Reazione a catena
Daniel Gorenstein	Daniel Gorenstein
Macael (Almería)	Macael
Benitagla (Almería)	Benitagla
Sik wòch	Ciclo litogenetico
Dany Laferrière	Dany Laferrière
Darien, Georgie	Darien (Georgia)
Pwachouk	Phaseolus lunatus
99 (menm non)	99 (disambigua)
316 (menm non)	316 (disambigua)
314 (menm non)	314 (disambigua)
395 (menm non)	395 (disambigua)
28 (menm non)	28 (disambigua)
44 (menm non)	44 (disambigua)
514 (menm non)	514 (disambigua)
1848 (menm non)	1848 (disambigua)
432 (menm non)	432 (disambigua)
25 (menm non)	25 (disambigua)
288 (menm non)	288 (disambigua)
36 (menm non)	36 (disambigua)
263 (menm non)	263 (disambigua)
307 (menm non)	307 (disambigua)
308 (menm non)	308 (disambigua)
Reziltant	Risultante (polinomi)
Chudnovsky brothers	Fratelli Čudnovskij
David Kazhdan	David Kazhdan
Swissvale, Pennsilvani	Swissvale
Port Vue, Pennsilvani	Port Vue
Manor, Pennsilvani	Manor (Pennsylvania)
Springdale, Pennsilvani	Springdale (Pennsylvania)
North Apollo, Pennsilvani	North Apollo
West Kittanning, Pennsilvani	West Kittanning
Patterson Heights, Pennsilvani	Patterson Heights
Lorain, Pennsilvani	Lorain (Pennsylvania)
Manorville, Pennsilvani	Manorville
Sharpsburg, Pennsilvani	Sharpsburg (Pennsylvania)
McSherrystown, Pennsilvani	McSherrystown
South Heights, Pennsilvani	South Heights
West Mifflin, Pennsilvani	West Mifflin
Rome, Pennsilvani	Rome (contea di Bradford)
Troy, Pennsilvani	Troy (Pennsylvania)
Rosslyn Farms, Pennsilvani	Rosslyn Farms
Northern Cambria, Pennsilvani	Northern Cambria
Sylvania, Pennsilvani	Sylvania (Pennsylvania)
New Albany, Pennsilvani	New Albany (Pennsylvania)
Leetsdale, Pennsilvani	Leetsdale
Tyrone, Pennsilvani	Tyrone (borough)
Hamburg, Pennsilvani	Hamburg (Pennsylvania)
Gallitzin, Pennsilvani	Gallitzin
Pitcairn, Pennsilvani	Pitcairn (Pennsylvania)
Topton, Pennsilvani	Topton
North Braddock, Pennsilvani	North Braddock
Swarthmore, Pennsilvani	Swarthmore (Pennsylvania)
Strausstown, Pennsilvani	Strausstown
New Hope, Pennsilvani	New Hope (Pennsylvania)
Verona, Pennsilvani	Verona (Pennsylvania)
Laureldale, Pennsilvani	Laureldale
Wilmerding, Pennsilvani	Wilmerding
Thornburg, Pennsilvani	Thornburg (Pennsylvania)
McDonald, Pennsilvani	McDonald (Pennsylvania)
Hanover, Pennsilvani	Hanover (Pennsylvania)
Shoemakersville, Pennsilvani	Shoemakersville
Mohnton, Pennsilvani	Mohnton
Kenhorst, Pennsilvani	Kenhorst
Portland, Pennsilvani	Portland (Pennsylvania)
Heidelberg, Pennsilvani	Heidelberg (Pennsylvania)
Rainsburg, Pennsilvani	Rainsburg
Manns Choice, Pennsilvani	Manns Choice
Osborne, Pennsilvani	Glen Osborne (Stati Uniti)
Littlestown, Pennsilvani	Littlestown
Sewickley Heights, Pennsilvani	Sewickley Heights
Monroe, Pennsilvani	Monroe (contea di Bradford)
Wall, Pennsilvani	Wall (Pennsylvania)
Homewood, Pennsilvani	Homewood (Pennsylvania)
Hastings, Pennsilvani	Hastings (Pennsylvania)
Nanty-Glo, Pennsilvani	Nanty-Glo
Ohioville, Pennsilvani	Ohioville
Geistown, Pennsilvani	Geistown
Mount Oliver, Pennsilvani	Mount Oliver (Pennsylvania)
New Paris, Pennsilvani	New Paris (Pennsylvania)
South Waverly, Pennsilvani	South Waverly
Industry, Pennsilvani	Industry (Pennsylvania)
Glasgow, Pennsilvani	Glasgow (Pennsylvania)
Le Raysville, Pennsilvani	Le Raysville
Rural Valley, Pennsilvani	Rural Valley
Wyalusing, Pennsilvani	Wyalusing (Pennsylvania)
Pennsbury Village, Pennsilvani	Pennsbury Village
Robesonia, Pennsilvani	Robesonia
Leechburg, Pennsilvani	Leechburg
Roaring Spring, Pennsilvani	Roaring Spring
Oakdale, Pennsilvani	Oakdale (Pennsylvania)
White Oak, Pennsilvani	White Oak (Pennsylvania)
Penn Hills, Pennsilvani	Penn Hills
Hookstown, Pennsilvani	Hookstown
Versailles, Pennsilvani	Versailles (Pennsylvania)
West Elizabeth, Pennsilvani	West Elizabeth
Hulmeville, Pennsilvani	Hulmeville
West View, Pennsilvani	West View (Pennsylvania)
Mount Penn, Pennsilvani	Mount Penn
Silverdale, Pennsilvani	Silverdale (Pennsylvania)
Richlandtown, Pennsilvani	Richlandtown
Langhorne Manor, Pennsilvani	Langhorne Manor
Trumbauersville, Pennsilvani	Trumbauersville
Oakmont, Pennsilvani	Oakmont (Pennsylvania)
Ivyland, Pennsilvani	Ivyland
Penndel, Pennsilvani	Penndel
Lenhartsville, Pennsilvani	Lenhartsville
Tullytown, Pennsilvani	Tullytown
Perkasie, Pennsilvani	Perkasie
Wilkinsburg, Pennsilvani	Wilkinsburg
Sharon, Pennsilvani	Sharon (Contea di Mercer, Pennsylvania)
To Beast Or Not To Beast	To Beast or Not to Beast
Tunnelhill, Pennsilvani	Tunnelhill
Loretto, Pennsilvani	Loretto (Pennsylvania)
Womelsdorf, Pennsilvani	Womelsdorf (Pennsylvania)
Worthington, Pennsilvani	Worthington (Pennsylvania)
New Brighton, Pennsilvani	New Brighton (Pennsylvania)
Stroudsburg, Pennsilvani	Stroudsburg
Green Tree, Pennsilvani	Green Tree
Whitaker, Pennsilvani	Whitaker (Pennsylvania)
Koppel, Pennsilvani	Koppel (Stati Uniti d'America)
Millvale, Pennsilvani	Millvale (Pennsylvania)
McKees Rocks, Pennsilvani	McKees Rocks
Haysville, Pennsilvani	Haysville (Pennsylvania)
West Homestead, Pennsilvani	West Homestead
Pottstown, Pennsilvani	Pottstown
New Britain, Pennsilvani	New Britain (Pennsylvania)
Langhorne, Pennsilvani	Langhorne
Lilly, Pennsilvani	Lilly (Pennsylvania)
Wyomissing, Pennsilvani	Wyomissing
Monaca, Pennsilvani	Monaca (Pennsylvania)
Lincoln, Pennsilvani	Lincoln (Contea di Allegheny, Pennsylvania)
Mount Lebanon, Pennsilvani	Mount Lebanon (Pennsylvania)
Hazleton, Pennsilvani	Hazleton (Pennsylvania)
Kittanning, Pennsilvani	Kittanning (Pennsylvania)
Georgetown, Pennsilvani	Georgetown (Pennsylvania)
State College, Pennsilvani	State College
Sunbury, Pennsilvani	Sunbury (Pennsylvania)
Trafford, Pennsilvani	Trafford (Pennsylvania)
Shillington, Pennsilvani	Shillington
Sewickley, Pennsilvani	Sewickley (Pennsylvania)
Lyons, Pennsilvani	Lyons (Pennsylvania)
Quakertown, Pennsilvani	Quakertown
Telford, Pennsilvani	Telford (Pennsylvania)
Roswell, Dakota disid	Roswell (Dakota del Sud)
Tarentum, Pennsilvani	Tarentum (Pennsylvania)
329 (nonm)	329 (numero)
346 (nonm)	346 (numero)
367 (nonm)	367 (numero)
332 (nonm)	332 (numero)
343 (nonm)	343 (numero)
327 (nonm)	327 (numero)
334 (nonm)	334 (numero)
373 (nonm)	373 (numero)
379 (nonm)	379 (numero)
361 (nonm)	361 (numero)
344 (nonm)	344 (numero)
Dennis Alcapone	Dennis Alcapone
Glenfield, Pennsilvani	Glenfield (Pennsylvania)
Schellsburg, Pennsilvani	Schellsburg
Rankin, Pennsilvani	Rankin (Pennsylvania)
Litifikasyon	Litificazione
Fruita, Kolorado	Fruita
Black Diamond, Washington	Black Diamond (Washington)
Rosemont, Ilinwa	Rosemont (Illinois)
Carnation, Washington	Carnation
Woodland, Washington	Woodland (Washington)
Johns Creek, Georgie	Johns Creek
Thomasville, Georgie	Thomasville (Georgia)
Irvine, Kentucky	Irvine (Kentucky)
St. Matthews, Kawolin disid	St. Matthews (Carolina del Sud)
Mansfield, Massachusetts	Mansfield (Massachusetts)
Covington, Georgie	Covington (Georgia)
Highland Park, Florid	Highland Park (Florida)
Hamilton, Massachusetts	Hamilton (Massachusetts)
371 (nonm)	371 (numero)
381 (nonm)	381 (numero)
377 (nonm)	377 (numero)
382 (nonm)	382 (numero)
380 (nonm)	380 (numero)
338 (nonm)	338 (numero)
563 (nonm)	563 (numero)
328 (nonm)	328 (numero)
386 (nonm)	386 (numero)
383 (nonm)	383 (numero)
339 (nonm)	339 (numero)
389 (nonm)	389 (numero)
Corydon, Indiana	Corydon (Indiana)
1990 (menm non)	1990 (disambigua)
1234 (menm non)	1234 (disambigua)
1973 (menm non)	1973 (disambigua)
Wikipedya:Anbasad	Wikipedia:Ambasciata
365 (nonm)	365 (numero)
Desalin (komin)	Dessalines (Haiti)
Bokal	Barattolo
Ilwaco, Washington	Ilwaco
Chelan, Washington	Chelan
Cashmere, Washington	Cashmere (Washington)
Moxee, Washington	Moxee
Watertown, Connecticut	Watertown (Connecticut)
McMinnville, Tennessee	McMinnville (Tennessee)
Dunwoody, Georgie	Dunwoody
Camden, Tennessee	Camden (Tennessee)
Plasenta	Placenta
1000 (menm non)	1000 (disambigua)
Waleska, Georgie	Waleska
Dillinger	Dillinger (musicista)
Dillon, Kolorado	Dillon (Colorado)
Dobbs Ferry, New York	Dobbs Ferry
Dolton, Ilinwa	Dolton (Illinois)
Martin Davis	Martin Davis
Zile yo Monjes	Arcipelago di Los Monjes
Thomas Townsend Brown	Thomas Townsend
Ayeropò	Aeroporto
Morenci, Arizona	Morenci (Arizona)
Mèki (eleman)	Mercurio nativo
Guglielmo Libri Carucci dalla Sommaja	Guglielmo Libri Carucci dalla Sommaja
Joe Gibbs	Joe Gibbs (allenatore di football americano)
John Allen Paulos	John Allen Paulos
Milo (komin)	Milot (Haiti)
Sutter Creek, Kalifòni	Sutter Creek
Coaling (Alabama)	Coaling
Henagar (Alabama)	Henagar
Lakeview (Alabama)	Lakeview (Alabama)
Thorsby (Alabama)	Thorsby
Moores Mill (Alabama)	Moores Mill
Harvest (Alabama)	Harvest (Alabama)
Meridianville (Alabama)	Meridianville
Blue Ridge (Alabama)	Blue Ridge (Alabama)
Bynum (Alabama)	Bynum (Alabama)
Saks (Alabama)	Saks
Duarte	Provincia di Duarte
Dub Incorporation	Dub Incorporation
Thompson, Connecticut	Thompson (Connecticut)
Dugway, Utah	Dugway
Duke Reid	Duke Reid
Dyersburg, Tennessee	Dyersburg
Point Clear (Alabama)	Point Clear
Grayson Valley (Alabama)	Grayson Valley
West End-Cobb Town (Alabama)	West End-Cobb Town
Hazel Green (Alabama)	Hazel Green (Alabama)
Meadowbrook (Alabama)	Meadowbrook (Alabama)
Theodore (Alabama)	Theodore (Alabama)
Forestdale (Alabama)	Forestdale (Alabama)
Mountainboro (Alabama)	Mountainboro
Tillmans Corner (Alabama)	Tillmans Corner
Mikhail Yakovlevich Suslin	Michail Jakovlevič Suslin
Lake Purdy (Alabama)	Lake Purdy
Underwood-Petersville (Alabama)	Underwood-Petersville
McDonald Chapel (Alabama)	McDonald Chapel
Holt (Alabama)	Holt (Alabama)
Selmont-West Selmont (Alabama)	Selmont-West Selmont
Mount Olive (Alabama)	Mount Olive (Alabama)
Mignon (Alabama)	Mignon (Alabama)
Rock Creek (Alabama)	Rock Creek (Alabama)
Grand Bay (Alabama)	Grand Bay (Alabama)
Rock Mills (Alabama)	Rock Mills
East Haddam, Connecticut	East Haddam
East Lyme, Connecticut	East Lyme
Eastman, Georgie	Eastman (Georgia)
John Collins	John Collins (matematico)
Wrightsville, Georgie	Wrightsville (Georgia)
Waynesboro, Georgie	Waynesboro (Georgia)
McRae, Georgie	McRae (Georgia)
John Day, Oregon	John Day (Oregon)
Chalkville (Alabama)	Chalkville
Edward Condon	Edward Condon
Nanafalia (Alabama)	Nanafalia
Carlton (Alabama)	Carlton (Alabama)
Monseñor Nouel	Provincia di Monseñor Nouel
Egbert van Kampen	Egbert van Kampen
Egon Pearson	Egon Pearson
Ehrenberg, Arizona	Ehrenberg (Arizona)
Marinus Ghetaldus	Marino Ghetaldi
Reidsville, Georgie	Reidsville (Georgia)
Guarromán (Jaén)	Guarromán
Beas de Segura (Jaén)	Beas de Segura
Elwyn Berlekamp	Elwyn Berlekamp
Louis-Philippe Dalembert	Louis-Philippe Dalembert
Jan Rabèl (komin)	Jean-Rabel
Gòf (jewografi)	Golfo
La Altagracia	Provincia di La Altagracia
Elias Stein	Elias M. Stein
Peravia	Provincia di Peravia
Ellington, Connecticut	Ellington (Connecticut)
307 (nonm)	307 (numero)
Gordon, Georgie	Gordon (Georgia)
Lilly, Georgie	Lilly (Georgia)
Enterprise, Nevada	Enterprise (Nevada)
Steven Lee	Steven Lee
Pedernales (provens)	Provincia di Pedernales
Santo Domingo (provens)	Provincia di Santo Domingo
Arjona (Jaén)	Arjona (Spagna)
James David Forbes	James David Forbes
Robin Hartshorne	Robin Hartshorne
John Hopkinson	John Hopkinson
James Whitbread Lee Glaisher	James Whitbread Lee Glaisher
Richard Guy	Richard K. Guy
Eugene Dynkin	Evgenij Borisovič Dynkin
Jon Speelman	Jonathan Speelman
Kannan Soundararajan	Kannan Soundararajan
Howard Percy Robertson	Howard Percy Robertson
Tenor Saw	Tenor Saw
U Roy	U-Roy
Michael Rose	Michael Rose
Lynn Steen	Lynn Steen
Peter Swinnerton-Dyer	Peter Swinnerton-Dyer
Raoul Peck	Raoul Peck
Vybz Kartel	Vybz Kartel
Lucainena de las Torres (Almería)	Lucainena de las Torres
Bentarique (Almería)	Bentarique
Bayarque (Almería)	Bayarque
Laroya (Almería)	Laroya
Bayárcal (Almería)	Bayárcal
Instinción (Almería)	Instinción
Cóbdar (Almería)	Cóbdar
Armuña de Almanzora (Almería)	Armuña de Almanzora
Gérgal (Almería)	Gérgal
Albanchez (Almería)	Albanchez
Olula del Río (Almería)	Olula del Río
Felix (Almería)	Felix (Spagna)
Lúcar (Almería)	Lúcar
Alicún (Almería)	Alicún
Cantoria (Almería)	Cantoria (comune spagnolo)
Chercos (Almería)	Chercos
Turre (Almería)	Turre
Líjar (Almería)	Líjar
Fondón (Almería)	Fondón
Keith Devlin	Keith Devlin
Herbert Scarf	Herbert Scarf
Felix Morisseau-Leroy	Felix Morisseau-Leroy
Rochelle, Georgie	Rochelle (Georgia)
Laurent Voulzy	Laurent Voulzy
Buckley, Washington	Buckley (Washington)
Mansfield, Lwizyana	Mansfield (Louisiana)
San Cristóbal (provens)	Provincia di San Cristóbal
San Pedro de Macorís (provens)	Provincia di San Pedro de Macorís
Devèsman	Portata
Souprefekti	Sottoprefettura
Fort Gordon, Georgie	Fort Gordon
Alcóntar (Almería)	Alcóntar
Occoquan, Vijini	Occoquan (Virginia)
Marion, Vijini	Marion (Virginia)
Tappahannock, Vijini	Tappahannock
Herndon, Vijini	Herndon (Virginia)
Clifton, Vijini	Clifton (Virginia)
Jacques Rabemananjara	Jacques Rabemananjara
Farmville, Vijini	Farmville (Virginia)
Wytheville, Vijini	Wytheville (Virginia)
Dumfries, Vijini	Dumfries (Virginia)
Glen Carbon, Ilinwa	Glen Carbon
Hamilton, Vijini	Hamilton (Virginia)
Pulaski, Vijini	Pulaski (Virginia)
Atlantic Beach, Kawolin dinò	Atlantic Beach (Carolina del Nord)
Bluefield, Vijini	Bluefield (Virginia)
Purcellville, Vijini	Purcellville (Virginia)
Atlantic Beach, Kawolin disid	Atlantic Beach (Carolina del Sud)
Andrew Jones	Andruw Jones
Թ	Թ
North Tonawanda, New York	North Tonawanda
Watertown, New York	Watertown (New York)
Ի	Ի
Է	Է
Ժ	Ժ
Ը	Ը
Խ	Խ
Great Neck, New York	Great Neck
Glens Falls, New York	Glens Falls
Cohoes, New York	Cohoes
T.O.K.	T.O.K.
Talbotton, Georgie	Talbotton
280 (nonm)	280 (numero)
300 (nonm)	300 (numero)
Jean Paul de Gua de Malves	Jean Paul de Gua de Malves
Yuri Linnik	Jurij Vladimirovič Linnik
George Mackey	George Mackey
Gene Golub	Gene H. Golub
Willem 's Gravesande	Willem 's Gravesande
George Sudarshan	George Sudarshan
Joseph Leo Doob	Joseph Leo Doob
Marcel-Paul Schützenberger	Marcel Schützenberger
Frank Morley	Frank Morley
Steven Strogatz	Steven Strogatz
Percy John Heawood	Percy Heawood
Peter Sarnak	Peter Sarnak
Gian Francesco Malfatti	Gianfrancesco Malfatti
Phillip Griffiths	Phillip Griffiths
Harold Davenport	Harold Davenport
Michael Aschbacher	Michael Aschbacher
Frank Adams	John Frank Adams
Robert Serber	Robert Serber
Nick Katz	Nicholas Katz
Savas Dimopoulos	Savas Dimopoulos
Samuel Earnshaw	Samuel Earnshaw
Tusculum, Tennessee	Tusculum (Tennessee)
Rogersville, Tennessee	Rogersville (Tennessee)
Elizabethton, Tennessee	Elizabethton (Tennessee)
Massilia Sound System	Massilia Sound System
Fairfield, Vermont	Fairfield (Vermont)
John Colson	John Colson
George Peacock	George Peacock
Giovanni Vacca	Giovanni Vacca (matematico)
Passi	Passi (gruppo musicale)
Solomon Golomb	Solomon W. Golomb
Manjul Bhargava	Manjul Bhargava
Jean-Pierre Bourguignon	Jean-Pierre Bourguignon
William Kruskal	William Kruskal
Kenneth May	Kenneth May
Lorenzo Respighi	Lorenzo Respighi
William Browder	William Browder
Robert Lee Moore	Robert Lee Moore
John Landen	John Landen
Jean-François Le Gall	Jean-François Le Gall
Graeme Segal	Graeme Segal
Resaca, Georgie	Resaca
Derrick Norman Lehmer	Derrick Norman Lehmer
Dickinson (Alabama)	Dickinson (Alabama)
Albox (Almería)	Albox
Turrillas (Almería)	Turrillas
Los Gallardos (Almería)	Los Gallardos
La Mojonera (Almería)	La Mojonera
Castro de Filabres (Almería)	Castro de Filabres
Garrucha (Almería)	Garrucha
Valley City (Dakota dinò)	Valley City (Dakota del Nord)
Kategori:Almay	Categoria:Germania
Pulaski, Tennessee	Pulaski (Tennessee)
Kategori:Etazini	Categoria:Stati Uniti d'America
Kategori:Risi	Categoria:Russia
Kategori:Kanada	Categoria:Canada
Kategori:Wayòm Ini	Categoria:Regno Unito
Kategori:Espay	Categoria:Spagna
Kategori:Nouvèl Zelann	Categoria:Nuova Zelanda
Lackland AFB, Texas	Lackland Air Force Base
Oconee, Georgie	Oconee (Georgia)
San José de Ocoa (provens)	Provincia di San José de Ocoa
Siwèl	Spondias purpurea
Independencia	Provincia di Independencia
Marion, Kawolin disid	Marion (Carolina del Sud)
Pòtè	Portatore sano
Կ	Կ
Ծ	Ծ
Sullivan's Island, Kawolin disid	Isola di Sullivan
Piscataway, New Jersey	Piscataway (New Jersey)
Fort Benning, Georgie	Fort Benning
Franco	Franco
Francesco Paolo Cantelli	Francesco Paolo Cantelli
Blackfoot, Idaho	Blackfoot (Idaho)
Alhabia (Almería)	Alhabia
Mason City, Iowa	Mason City (Iowa)
Viator (Almería)	Viator
Greg Kuperberg	Greg Kuperberg
Tabernas (Almería)	Tabernas
Rioja (Almería)	Rioja
Alcolea (Almería)	Alcolea
Oria (Almería)	Oria (Almería)
Antas (Almería)	Antas (Almería)
Tigard, Oregon	Tigard
Alboloduy (Almería)	Alboloduy
San Juan del Puerto (Huelva)	San Juan del Puerto
Benizalón (Almería)	Benizalón
Alsodux (Almería)	Alsodux
Ekoulman	Ruscellamento
Ohanes (Almería)	Ohanes
Olula de Castro (Almería)	Olula de Castro
Purchena (Almería)	Purchena
Encinasola (Huelva)	Encinasola
El Cerro de Andévalo (Huelva)	El Cerro de Andévalo
Streamwood, Ilinwa	Streamwood
Sitokin	Citocinesi
Uleila del Campo (Almería)	Uleila del Campo
Pechina (Almería)	Pechina
Padules (Almería)	Padules
Las Tres Villas (Almería)	Las Tres Villas
Paterna del Río (Almería)	Paterna del Río
Partaloa (Almería)	Partaloa
282 (menm non)	282 (disambigua)
Cortes de la Frontera (Málaga)	Cortes de la Frontera
Freeport, Maine	Freeport (Maine)
French Lick, Indiana	French Lick
Kategori:Kiba	Categoria:Cuba
Kategori:Polòy	Categoria:Polonia
Kategori:Kore disid	Categoria:Corea del Sud
Kategori:Swis	Categoria:Svizzera
Kategori:Vyetnam	Categoria:Vietnam
Giulio Ascoli	Giulio Ascoli
Kategori:Fizik	Categoria:Fisica
Kategori:Syans natirèl	Categoria:Scienze naturali
Kategori:Biyoloji	Categoria:Biologia
Kategori:Chimi	Categoria:Chimica
Kategori:Istwa	Categoria:Storia
Kategori:Jewografi	Categoria:Geografia
Kategori:Sosyete	Categoria:Società
Kategori:La vizyèl	Categoria:Arti visive
Kategori:Relijyon	Categoria:Religione
Kategori:Espò	Categoria:Sport
Kategori:Syans	Categoria:Scienza
Kategori:Sinema	Categoria:Cinema
Kategori:Latè	Categoria:Terra
Albaida del Aljarafe (Seville)	Albaida del Aljarafe
Salado, Texas	Salado (Texas)
Putnam, Connecticut	Putnam (Connecticut)
Hebron, Connecticut	Hebron (Connecticut)
Morgan Heritage	Morgan Heritage
Percy Alexander MacMahon	Percy Alexander MacMahon
403 (nonm)	403 (numero)
404 (nonm)	404 (numero)
607 (nonm)	607 (numero)
673 (nonm)	673 (numero)
676 (nonm)	676 (numero)
Spring Hill, Tennessee	Spring Hill (Tennessee)
Palouse, Washington	Palouse (Washington)
Nooksack, Washington	Nooksack
Entiat, Washington	Entiat
Airway Heights, Washington	Airway Heights
Yacolt, Washington	Yacolt
Winlock, Washington	Winlock
Rainier, Washington	Rainier (Washington)
Creston, Washington	Creston (Washington)
Springdale, Washington	Springdale (Washington)
Normandy Park, Washington	Normandy Park
Newcastle, Washington	Newcastle (Washington)
Ferndale, Washington	Ferndale (Washington)
Sedro-Woolley, Washington	Sedro-Woolley
Everson, Washington	Everson (Washington)
La Conner, Washington	La Conner
Granger, Washington	Granger (Washington)
Benton City, Washington	Benton City (Washington)
Northport, Washington	Northport (Washington)
Marigo (komin)	Marigot (Haiti)
Winthrop, Washington	Winthrop (Washington)
Mattawa, Washington	Mattawa (Washington)
Millwood, Washington	Millwood (Washington)
Clyde Hill, Washington	Clyde Hill
Sultan, Washington	Sultan (Washington)
Farmington, Washington	Farmington (Washington)
Pe Ell, Washington	Pe Ell (Washington)
Connell, Washington	Connell (Washington)
Fircrest, Washington	Fircrest
Endicott, Washington	Endicott (Washington)
Snohomish, Washington	Snohomish (Washington)
Ridgefield, Washington	Ridgefield (Washington)
Hatton, Washington	Hatton (Washington)
Rockford, Washington	Rockford (Washington)
Tieton, Washington	Tieton
Lamont, Washington	Lamont (Washington)
Wilkeson, Washington	Wilkeson
Washtucna, Washington	Washtucna
Colton, Washington	Colton (Washington)
Medical Lake, Washington	Medical Lake
Tonasket, Washington	Tonasket
Lind, Washington	Lind (Washington)
Vader, Washington	Vader (Washington)
Waitsburg, Washington	Waitsburg
Woodway, Washington	Woodway (Washington)
Kahlotus, Washington	Kahlotus
South Cle Elum, Washington	South Cle Elum
La Center, Washington	La Center (Washington)
Waverly, Washington	Waverly (Washington)
Granite Falls, Washington	Granite Falls (Washington)
Marcus, Washington	Marcus (Washington)
Harrah, Washington	Harrah (Washington)
Twisp, Washington	Twisp
Medina, Washington	Medina (Washington)
Pacific, Washington	Pacific (Washington)
Brewster, Washington	Brewster (Washington)
Gold Bar, Washington	Gold Bar
Mountlake Terrace, Washington	Mountlake Terrace
Oakesdale, Washington	Oakesdale
Yarrow Point, Washington	Yarrow Point
Rosalia, Washington	Rosalia (Washington)
Nespelem, Washington	Nespelem
Mukilteo, Washington	Mukilteo
Conconully, Washington	Conconully
Malden, Washington	Malden (Washington)
