Африк	Africa
Ангилал:Умар Солонгосын хот	Categoria:Città della Corea del Nord
Ангилал:Зимбабвегийн хотууд	Categoria:Città dello Zimbabwe
Ангилал:Коморын хотууд	Categoria:Centri abitati delle Comore
Ангилал:Туркмен улсын хот	Categoria:Città del Turkmenistan
Ангилал:Маршаллын арлуудын арлууд	Categoria:Isole delle Isole Marshall
Ангилал:Армен орны нуур	Categoria:Laghi dell'Armenia
Ангилал:Азербайжан орны нуур	Categoria:Laghi dell'Azerbaigian
Ангилал:Руандагийн хотууд	Categoria:Centri abitati del Ruanda
Ангилал:Бангладешийн хот	Categoria:Centri abitati del Bangladesh
Ангилал:Монгол орны уул нурууд	Categoria:Montagne della Mongolia
Ангилал:Португалын уул нуруу	Categoria:Montagne del Portogallo
Ангилал:Индонезийн арлууд	Categoria:Isole dell'Indonesia
Ангилал:Хойд Солонгосын тамирчид	Categoria:Sportivi nordcoreani
Ангилал:Литва улсын хот	Categoria:Città della Lituania
Ангилал:Унгарын бөхчүүд	Categoria:Lottatori ungheresi
Ангилал:Туркийн бөхчүүд	Categoria:Lottatori turchi
Ангилал:Болгар улсын бөх	Categoria:Lottatori bulgari
Ангилал:Украйны бөхчүүд	Categoria:Lottatori ucraini
Ангилал:АНУ-ын бөхчүүд	Categoria:Lottatori statunitensi
Ангилал:Шотланд	Categoria:Scozia
Ангилал:Монголын хэл	Categoria:Lingue della Mongolia
Ангилал:Монголын утга зохиол	Categoria:Letteratura mongola
Ангилал:Монголын хөгжмийн урлаг	Categoria:Musica in Mongolia
Ангилал:Уран сайхны гимнастик	Categoria:Ginnastica ritmica
Ангилал:Поло	Categoria:Polo (sport)
Ангилал:Далбааны загварууд	Categoria:Template bandierine nazionali
Ангилал:Цанын харайлт	Categoria:Salto con gli sci
Ангилал:Монголын уран зураачид	Categoria:Pittori mongoli
Ангилал:Хүндийг өргөлт	Categoria:Sollevamento pesi
Ангилал:Тажикистаны тамирчид	Categoria:Sportivi tagiki
Ангилал:Гүржийн тамирчид	Categoria:Sportivi georgiani
Ангилал:Кубын тамирчид	Categoria:Sportivi cubani
Ангилал:Данийн тамирчид	Categoria:Sportivi danesi
Ангилал:Туркийн тамирчид	Categoria:Sportivi turchi
Ангилал:Узбекийн тамирчин	Categoria:Sportivi uzbeki
Ангилал:Банкууд	Categoria:Banche
Сейж Коценбург	Sage Kotsenburg
Сейдо Берахино	Saido Berahino
Загвар:Физик	Template:Sottocampi della fisica
Ангилал:Нар хиртэлтүүд	Categoria:Eclissi solari
Ангилал:Зүлэгний хоккей	Categoria:Hockey su prato
Ангилал:Никарагуагийн зохиолчид	Categoria:Scrittori nicaraguensi
Ангилал:Баруун Европ	Categoria:Europa occidentale
Ангилал:Өмнөд Европ	Categoria:Europa meridionale
Ангилал:Математик физик	Categoria:Fisica matematica
Ангилал:Сербийн аймаг	Categoria:Distretti della Serbia
Ангилал:Германы генералууд	Categoria:Generali tedeschi
Ангилал:Кавказ	Categoria:Caucaso
Ангилал:Формула Нэг уралдаанд оролцогч финчүүд	Categoria:Piloti di Formula 1 finlandesi
Ангилал:Технологийн хувьсал	Categoria:Cambiamento tecnologico
Ангилал:Португалын долоон нутаг	Categoria:Regioni del Portogallo
Ангилал:Английн хөлбөмбөгийн багуудын бүрэлдэхүүн	Categoria:Rose delle squadre di calcio - Inghilterra
Загвар:Цагийн бүсүүд	Template:Fusi orari
Ангилал:Лилль багийн тоглогчид	Categoria:Calciatori del LOSC Lille
Ангилал:Румыны ерөнхийлөгчид	Categoria:Presidenti della Romania
Ангилал:Монгол Улс Олимпод	Categoria:Mongolia ai Giochi olimpici
Ангилал:Оюунлаг байдал	Categoria:Spiritualità
Ангилал:Зүүн Германы олимпийн хүрэл медальтнууд	Categoria:Tedeschi orientali vincitori di medaglia di bronzo olimpica
Ангилал:Монгол улсын аймаг	Categoria:Province della Mongolia
Ангилал:Боксын дэлхийн аварга шалгаруулах тэмцээнүүд	Categoria:Campionati mondiali di pugilato dilettanti
Ангилал:Монгол Улсын Эдийн засаг	Categoria:Aziende mongole
Ангилал:Монголын нисэх онгоцны буудлууд	Categoria:Aeroporti della Mongolia
Ангилал:Оросын Премьер лиг	Categoria:Campionato russo di calcio
Ангилал:Эрүүл мэнд	Categoria:Salute
Шейн Ларкин	Shane Larkin
Загвар:UGA	Template:UGA
Загвар:UZB	Template:UZB
Ангилал:Унадаг дугуй	Categoria:Ciclismo
Загвар:DDR	Template:DDR
Эцсийн зогсоол	Final Destination
Загвар:Fussballdaten	Template:Fussballdaten
Загвар:Lang-mk	Template:Macedone
Ангилал:Италийн улс төрийн намууд	Categoria:Partiti politici italiani
Ангилал:Гүржийн бөхчүүд	Categoria:Lottatori georgiani
Ангилал:Оросын бөхчүүд	Categoria:Lottatori russi
Ангилал:Зөвлөлт Холбоот Улсын баатрууд	Categoria:Eroi dell'Unione Sovietica
Загвар:PD-old	Template:PD-Old-100
Стивен Адамс	Steven Adams
Ангилал:Пуэрто Рикогийн сагсан бөмбөгчид	Categoria:Cestisti portoricani
Столе Сандбек	Ståle Sandbech
Ангилал:Их Британийн бөхчүүд	Categoria:Lottatori britannici
Ангилал:Болгарын сүмоч	Categoria:Lottatori di sumo bulgari
Загвар:Брюгге багийн бүрэлдэхүүн	Template:Calcio Club Bruges rosa
Загвар:Color box	Template:Rettangolo colorato
Загвар:Comicbookdb	Template:CBDB
Ангилал:АНУ-ын усны пологийн тамирчид	Categoria:Pallanuotisti statunitensi
Суя	Suya
Ангилал:Бразилын хөлбөмбөгийн багууд	Categoria:Società calcistiche brasiliane
Ангилал:Португалын хөлбөмбөгийн баг	Categoria:Società calcistiche portoghesi
Ангилал:Оросын хөлбөмбөгийн багууд	Categoria:Società calcistiche russe
Загвар:2009 оны Алтан цомд (КОНКАКАФ) Коста-Рикийн хөлбөмбөгийн шигшээ	Template:Nazionale costaricana concacaf gold cup 2009
Загвар:2011 оны Алтан цомд (КОНКАКАФ) Коста-Рикийн хөлбөмбөгийн шигшээ	Template:Nazionale costaricana concacaf gold cup 2011
Загвар:Infobox Olympics Mongolia	Template:NazioneGiochiOlimpici/Mongolia
Загвар:Lang-pl	Template:Polacco
Ангилал:Германы хөлбөмбөгийн багуудын бүрэлдэхүүн	Categoria:Rose delle squadre di calcio - Germania
Ангилал:Испанийн хөлбөмбөгийн багуудын бүрэлдэхүүн	Categoria:Rose delle squadre di calcio - Spagna
Хятад (салаа утга)	China
Ангилал:User pl-0	Categoria:Utenti pl-0
Загвар:User pl-3	Template:Utente pl-3
Ангилал:Шатрын гараанууд	Categoria:Aperture scacchistiche
Ангилал:Хасагийн жүдочид	Categoria:Judoka kazaki
Загвар:2011 оны Америкийн цомд Аргентины хөлбөмбөгийн шигшээ	Template:Nazionale argentina copa america 2011
Загвар:Кристал Пэлас багийн бүрэлдэхүүн	Template:Calcio Crystal Palace rosa
Ангилал:Францын хуульчид	Categoria:Avvocati francesi
Ангилал:Халл Сити багийн тоглогчид	Categoria:Calciatori dello Hull City A.F.C.
Ангилал:Физиологи	Categoria:Fisiologia
Загвар:Str right	Template:Str right
Ангилал:Зимбабвегийн тамирчид	Categoria:Sportivi zimbabwesi
Тиаго Илори	Tiago Ilori
Ангилал:Югославын тамирчид	Categoria:Sportivi jugoslavi
Ангилал:Румыны сансрын нисэгч	Categoria:Cosmonauti rumeni
Ангилал:Ирландын хөнгөн атлетикчид	Categoria:Atleti irlandesi
Ангилал:Чехословакийн хөнгөн атлетикчид	Categoria:Atleti cecoslovacchi
Фельдмаршал	Maresciallo di campo
Тони Снелл	Tony Snell
Ангилал:Италийн цаначид	Categoria:Fondisti italiani
Ангилал:Оросын цаначид	Categoria:Fondisti russi
Ангилал:ЗХУ-ын цаначид	Categoria:Fondisti sovietici
Загвар:Андерлехт багийн бүрэлдэхүүн	Template:Calcio Anderlecht rosa
Трояны	Trojany
Ангилал:Сербийн олимпийн хүрэл медальтнууд	Categoria:Serbi vincitori di medaglia di bronzo olimpica
Ангилал:Галатасарай багийн тоглогчид	Categoria:Calciatori del Galatasaray S.K.
Ангилал:Монголын хамтлаг	Categoria:Gruppi musicali mongoli
Ангилал:Үндэсний сагсан бөмбөгийн холбооны улирлууд	Categoria:Stagioni NBA
Ангилал:Залуур загварууд:Сагсан бөмбөг	Categoria:Template di navigazione - Pallacanestro
Загвар:2012 оны ЕАШТ-д Чехийн хөлбөмбөгийн шигшээ	Template:Nazionale ceca europei 2012
Ангилал:Австрийн олимпийн аваргууд	Categoria:Austriaci vincitori di medaglia d'oro olimpica
Ангилал:Болгар улсыг төлөөлсөн олимпийн аварга	Categoria:Bulgari vincitori di medaglia d'oro olimpica
Ангилал:Зүүн Германы олимпийн аваргууд	Categoria:Tedeschi orientali vincitori di medaglia d'oro olimpica
Ангилал:Германы олимпийн аваргууд	Categoria:Tedeschi vincitori di medaglia d'oro olimpica
Ангилал:Гүржийн олимпийн аваргууд	Categoria:Georgiani vincitori di medaglia d'oro olimpica
Ангилал:Зимбабвегийн олимпийн аваргууд	Categoria:Zimbabwesi vincitori di medaglia d'oro olimpica
Ангилал:Индонезийн олимпийн аваргууд	Categoria:Indonesiani vincitori di medaglia d'oro olimpica
Ангилал:Хойд Солонгосын олимпийн аваргууд	Categoria:Nordcoreani vincitori di medaglia d'oro olimpica
Ангилал:Канадын олимпийн аваргууд	Categoria:Canadesi vincitori di medaglia d'oro olimpica
Ангилал:Кенийн олимпийн аваргууд	Categoria:Kenioti vincitori di medaglia d'oro olimpica
Ангилал:Кубын олимпийн аваргууд	Categoria:Cubani vincitori di medaglia d'oro olimpica
Ангилал:Литвын олимпийн аваргууд	Categoria:Lituani vincitori di medaglia d'oro olimpica
Ангилал:Мексикийн олимпийн аваргууд	Categoria:Messicani vincitori di medaglia d'oro olimpica
Ангилал:Монголын олимпийн аваргууд	Categoria:Mongoli vincitori di medaglia d'oro olimpica
Ангилал:Нигеригийн олимпийн аваргууд	Categoria:Nigeriani vincitori di medaglia d'oro olimpica
Ангилал:Шинэ Зеландын олимпийн аваргууд	Categoria:Neozelandesi vincitori di medaglia d'oro olimpica
Ангилал:ТУХН-ийн олимпийн аваргууд	Categoria:Squadra Unificata - vincitori di medaglia d'oro olimpica
Ангилал:Оросын олимпийн аваргууд	Categoria:Russi vincitori di medaglia d'oro olimpica
Ангилал:Румыны олимпийн аваргууд	Categoria:Rumeni vincitori di medaglia d'oro olimpica
Ангилал:Словенийн олимпийн аваргууд	Categoria:Sloveni vincitori di medaglia d'oro olimpica
Ангилал:Угандын олимпийн аваргууд	Categoria:Ugandesi vincitori di medaglia d'oro olimpica
Ангилал:Украйны олимпийн аваргууд	Categoria:Ucraini vincitori di medaglia d'oro olimpica
Ангилал:Швейцарийн олимпийн аваргууд	Categoria:Svizzeri vincitori di medaglia d'oro olimpica
Ангилал:Эстоны олимпийн аваргууд	Categoria:Estoni vincitori di medaglia d'oro olimpica
Ангилал:Этиопын олимпийн аваргууд	Categoria:Etiopi vincitori di medaglia d'oro olimpica
Ангилал:Өмнөд Солонгосын олимпийн аваргууд	Categoria:Sudcoreani vincitori di medaglia d'oro olimpica
Ангилал:Ямайкын олимпийн аваргууд	Categoria:Giamaicani vincitori di medaglia d'oro olimpica
Ангилал:Японы олимпийн аваргууд	Categoria:Giapponesi vincitori di medaglia d'oro olimpica
Ангилал:Астанад төрсөн хүн	Categoria:Persone legate ad Astana
Виктор Оладипо	Victor Oladipo
Ангилал:Шымкентэд төрсөн хүн	Categoria:Persone legate a Šymkent
Ангилал:Югославын генералууд	Categoria:Generali jugoslavi
Ангилал:Хорватын генералууд	Categoria:Generali croati
Ангилал:Замбийн ерөнхийлөгчид	Categoria:Presidenti dello Zambia
Ангилал:Этиопын ерөнхийлөгчид	Categoria:Presidenti dell'Etiopia
Ангилал:Гвиней-Биссаугийн ерөнхий сайд нар	Categoria:Primi ministri della Guinea-Bissau
Ангилал:Хөгжмийн зохиолчид	Categoria:Compositori
Ангилал:Улаанбаатар хотын дүүргүүд	Categoria:Distretti di Ulan Bator
Ангилал:Азийн улс орон	Categoria:Stati dell'Asia
Ангилал:Кобэд төрсөн хүн	Categoria:Persone legate a Kōbe
Загвар:User Manchu	Template:Utente Manchu
Загвар:Индонезийн газрын зураг	Template:Indonesia - Mappa attiva
Загвар:УЕФА Европын лигийн улирлууд	Template:UEFA Europa League
Загвар:Технологи	Template:Tecnologia
Загвар:Инфобокс Нигеригийн Олимпийн баг	Template:NazioneGiochiOlimpici/Nigeria
Загвар:Инфобокс Оросын Олимпийн баг	Template:NazioneGiochiOlimpici/Russia
Ангилал:Генералууд	Categoria:Generali
Загвар:2012 оны ЕАШТ-д Хорватын хөлбөмбөгийн шигшээ	Template:Nazionale croata europei 2012
Загвар:2012 оны ЕАШТ-д Португалийн хөлбөмбөгийн шигшээ	Template:Nazionale portoghese europei 2012
Загвар:2006 оны ДАШТ-д Португалийн хөлбөмбөгийн шигшээ	Template:Nazionale portoghese mondiali 2006
Загвар:2012 оны ЕАШТ-д Францын хөлбөмбөгийн шигшээ	Template:Nazionale francese europei 2012
Загвар:2012 оны ЕАШТ-д Шведийн хөлбөмбөгийн шигшээ	Template:Nazionale svedese europei 2012
Загвар:2012 оны ЕАШТ-д Оросын хөлбөмбөгийн шигшээ	Template:Nazionale russa europei 2012
Загвар:2012 оны ЕАШТ-д Данийн хөлбөмбөгийн шигшээ	Template:Nazionale danese europei 2012
Загвар:2012 оны ЕАШТ-д Украйны хөлбөмбөгийн шигшээ	Template:Nazionale ucraina europei 2012
Загвар:2012 оны ЕАШТ-д Английн хөлбөмбөгийн шигшээ	Template:Nazionale inglese europei 2012
Загвар:Английн шигшээ багийн 2010 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:Nazionale inglese mondiali 2010
Загвар:Испанийн шигшээ багийн 2006 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:Nazionale spagnola mondiali 2006
Загвар:Уругвайн шигшээ багийн 2010 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:Nazionale uruguaiana mondiali 2010
Загвар:2012 оны ЕАШТ-д Германы хөлбөмбөгийн шигшээ	Template:Nazionale tedesca europei 2012
Загвар:Германы шигшээ багийн 2006 оны хөлбөмбөгийн ДАШТ-д оролцсон бүрэлдэхүүн	Template:Nazionale tedesca mondiali 2006
Загвар:User it-4	Template:Utente it-4
Загвар:Suboff	Template:Sostout
Загвар:Rm icon	Template:Rm
Загвар:RWA	Template:RWA
Загвар:MLT	Template:MLT
Загвар:Lang-tg	Template:Tagico
Загвар:Lang-sl	Template:Sloveno
Загвар:Lang-ka	Template:Georgiano
Загвар:KEN	Template:KEN
Загвар:JAM	Template:JAM
Ангилал:Сан-Морицын олимп (1928 он)	Categoria:II Giochi olimpici invernali
Ангилал:Оросын ерөнхий сайд нар	Categoria:Primi ministri della Russia
Загвар:Краснодар багийн бүрэлдэхүүн	Template:Calcio Krasnodar rosa
Загвар:Викториа Пльзень багийн бүрэлдэхүүн	Template:Calcio Viktoria Plzen rosa
Ангилал:Италийн олимпийн медальтнууд	Categoria:Italiani vincitori di medaglia olimpica
Загвар:Fo icon	Template:Fo
Ангилал:Веллингтон	Categoria:Wellington
Ангилал:Токиогийн олимп	Categoria:Giochi della XVIII Olimpiade
Ангилал:Усны пологийн тамирчид	Categoria:Pallanuotisti
Ангилал:1986 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Campionato mondiale di calcio 1986
Ангилал:1990 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Campionato mondiale di calcio 1990
Ангилал:Барселоны олимп	Categoria:Giochi della XXV Olimpiade
Ангилал:1994 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Campionato mondiale di calcio 1994
Ангилал:1998 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Campionato mondiale di calcio 1998
Ангилал:Сиднейн олимп	Categoria:Giochi della XXVII Olimpiade
Ангилал:Солт-Лэйк Ситийн олимп	Categoria:XIX Giochi olimpici invernali
Ангилал:2006 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Campionato mondiale di calcio 2006
Ангилал:Норвегийн тамирчид	Categoria:Sportivi norvegesi
Ангилал:Цанын хоёр төрөлтийн тамирчид	Categoria:Combinatisti nordici
Ангилал:Софтболчид	Categoria:Giocatori di softball
Ангилал:Монако багийн тоглогчид	Categoria:Calciatori dell'A.S. Monaco F.C.
Ангилал:Венесуэлийн эмч нар	Categoria:Medici venezuelani
Ангилал:Болгар улсыг төлөөлсөн олимпийн мөнгөн медальтан	Categoria:Bulgari vincitori di medaglia d'argento olimpica
Ангилал:Алгебрлиг геометр	Categoria:Geometria algebrica
Ангилал:Алгебр	Categoria:Algebra
Ангилал:Уулын цана	Categoria:Sci alpino
Ангилал:Узбекистаны хөнгөн атлетикчид	Categoria:Atleti uzbeki
Ангилал:Эртний Спартачууд	Categoria:Spartani
Ангилал:Монголын археологи	Categoria:Archeologia in Mongolia
Ангилал:Аргентины генералууд	Categoria:Generali argentini
Ангилал:Арифметик	Categoria:Aritmetica
Ангилал:Армены тамирчид	Categoria:Sportivi armeni
Ангилал:Болгар улсын уран гулгагч	Categoria:Pattinatori di figura bulgari
Ангилал:Үндэсний шигшээ багууд	Categoria:Squadre nazionali
Ангилал:Бокс	Categoria:Pugilato
Ангилал:Уран сайхны чиглэл	Categoria:Movimenti artistici
Ангилал:Програм хангамжийн инженерчлэл	Categoria:Ingegneria del software
Ангилал:User it-0	Categoria:Utenti it-0
Ангилал:Исландын тамирчид	Categoria:Sportivi islandesi
Ангилал:Ассирын хаад	Categoria:Sovrani assiri
Ангилал:Астрахань	Categoria:Astrachan'
Ангилал:Окленд	Categoria:Auckland
Ангилал:Австралийн тэшүүрчид	Categoria:Pattinatori di velocità su ghiaccio australiani
Ангилал:Австрийн цанын хоёр төрөлтийн тамирчид	Categoria:Combinatisti nordici austriaci
Ангилал:Азербайжаны дуучин	Categoria:Cantanti azeri
Ангилал:Бүжгэн жүжгүүд	Categoria:Balletti
Ангилал:Барбадосын тамирчид	Categoria:Sportivi barbadiani
Ангилал:Баавгайнхан	Categoria:Ursidi
Ангилал:Беларусийн биатлончид	Categoria:Biatleti bielorussi
Ангилал:Беларусийн хөнгөн атлетикчид	Categoria:Atleti bielorussi
Ангилал:Биатлон	Categoria:Biathlon
Ангилал:Биохимичид	Categoria:Biochimici
Ангилал:Биологичид	Categoria:Biologi
Загвар:Валенсиа багийн бүрэлдэхүүн	Template:Calcio Valencia rosa
Ангилал:Бобслейчид	Categoria:Bobbisti
Ангилал:Бобслей	Categoria:Bob
Ангилал:Бохемийн тамирчид	Categoria:Sportivi boemi
Ангилал:Боруссиа Мёнхенгладбах багийн тоглогчид	Categoria:Calciatori del Borussia V.f.L. 1900 Mönchengladbach
Ангилал:Хэрэглэгчийн загварууд	Categoria:Template Info utente
Ангилал:Боксын тэмцээнүүд	Categoria:Competizioni di pugilato
Ангилал:Олимпийн боксын тэмцээнүүд	Categoria:Pugilato ai Giochi olimpici
Ангилал:Бразилын хөнгөн атлетикчид	Categoria:Atleti brasiliani
Ангилал:Бразилын волейболчид	Categoria:Pallavolisti brasiliani
Ангилал:Британийн Баруун Энэтхэг	Categoria:Indie Occidentali Britanniche
Ангилал:Болгарын гимнастикч	Categoria:Ginnasti bulgari
Ангилал:Болгар улсын буудлагын тамирчин	Categoria:Tiratori bulgari
Ангилал:Болгарын тамирчин	Categoria:Sportivi bulgari
Рияд Махрез	Riyad Mahrez
Ангилал:Черкас муж	Categoria:Oblast' di Čerkasy
Ангилал:Чернигов муж	Categoria:Oblast' di Černihiv
Ангилал:Далай лам	Categoria:Dalai Lama
Ангилал:Словенийн биатлончид	Categoria:Biatleti sloveni
Ангилал:Дифлимп	Categoria:Deaflympics
Ангилал:Киото аймгийн хот	Categoria:Città della prefettura di Kyōto
Ангилал:Туялзуур сэлэм	Categoria:Scherma
Загвар:TOC left	Template:TOCleft
Ангилал:Монгол улсын сум	Categoria:Distretti della Mongolia
Ангилал:Даам	Categoria:Dama
Ангилал:Колумбын хүндийг өргөгчид	Categoria:Sollevatori colombiani
Ангилал:Дайн	Categoria:Guerra
Ангилал:Газар хөдлөлт	Categoria:Terremoti
Ангилал:Ираны газар хөдлөлт	Categoria:Terremoti in Iran
Ангилал:Компьютерийн техник хангамж	Categoria:Hardware
Ангилал:Айнтрахт Франкфурт багийн тоглогчид	Categoria:Calciatori dell'Eintracht Frankfurt
Ангилал:Цахилгаан соронзон	Categoria:Elettromagnetismo
Ангилал:Зохиогчийн эрхийг хамгаалах хууль	Categoria:Diritto d'autore
Ангилал:Эстоны хөнгөн атлетикчид	Categoria:Atleti estoni
Ангилал:Этиопын улс төрчид	Categoria:Politici etiopi
Ангилал:Этиопын тамирчид	Categoria:Sportivi etiopi
Ангилал:Европын Холбооны төлөөлөгчид	Categoria:Commissari europei
Ангилал:Европын оны шилдэг хөлбөмбөгчид	Categoria:Vincitori del Pallone d'oro
Ангилал:Английн хөлбөмбөгийн цомын тэмцээн	Categoria:FA Cup
Ангилал:Шальке 04 багийн тоглогчид	Categoria:Calciatori del F.C. Gelsenkirchen-Schalke 04
Ангилал:Хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээнүүд	Categoria:Campionati mondiali di calcio
Ангилал:ФИФА-гийн оны шилдэг хөлбөмбөгчид	Categoria:Vincitori del FIFA World Player of the Year
Ангилал:Бөхийн төрлүүдийн дэлхийн аварга шалгаруулах тэмцээнүүд	Categoria:Campionati mondiali di lotta
Ангилал:Фарерын арлууд	Categoria:Fær Øer
Ангилал:Фенербахче багийн тоглогчид	Categoria:Calciatori del Fenerbahçe S.K.
Ангилал:Зүлэгний хоккейчид	Categoria:Hockeisti su prato
Ангилал:Фильдсийн медальтнууд	Categoria:Medaglie Fields
Ангилал:Уран гулгалт	Categoria:Pattinaggio artistico su ghiaccio
Ангилал:Олимпийн уран гулгалтын тэмцээнүүд	Categoria:Pattinaggio di figura ai Giochi olimpici
Ангилал:Финландын цанын хоёр төрөлтийн тамирчид	Categoria:Combinatisti nordici finlandesi
Ангилал:Хос далавчтанууд	Categoria:Ditteri
Ангилал:Болгарын хөлбөмбөгийн багууд	Categoria:Società calcistiche bulgare
Ангилал:Хорватын хөлбөмбөгийн багууд	Categoria:Società calcistiche croate
Ангилал:Грекийн хөлбөмбөгийн багууд	Categoria:Società calcistiche greche
Ангилал:Унгарын хөлбөмбөгийн багууд	Categoria:Società calcistiche ungheresi
Ангилал:Румыны хөлбөмбөгийн багууд	Categoria:Società calcistiche rumene
Ангилал:Сербийн хөлбөмбөгийн багууд	Categoria:Società calcistiche serbe
Ангилал:Финландын цаначид	Categoria:Fondisti finlandesi
Ангилал:Фристайльчид	Categoria:Sciatori freestyle
Ангилал:Фристайль	Categoria:Freestyle
Ангилал:Фрайберг	Categoria:Freiberg
Ангилал:Францын биатлончид	Categoria:Biatleti francesi
Ангилал:Францын цанын харайгчид	Categoria:Saltatori con gli sci francesi
Загвар:Wikidata	Template:Wikidata
Загвар:Суонси Сити багийн бүрэлдэхүүн	Template:Calcio Swansea City rosa
Ангилал:Израилийн тамирчид	Categoria:Sportivi israeliani
Ангилал:Софтбол	Categoria:Softball
Загвар:Ювентус багийн бүрэлдэхүүн	Template:Calcio Juventus rosa
Ангилал:Германы цанын хоёр төрөлтийн тамирчид	Categoria:Combinatisti nordici tedeschi
Ангилал:Германы чаргачид	Categoria:Slittinisti tedeschi
Ангилал:Германы буудлагын тамирчид	Categoria:Tiratori tedeschi
Ангилал:Грекийн тусгаар тогтнолын дайн	Categoria:Guerra d'indipendenza greca
Ангилал:Олимпийн гимнастикийн тэмцээнүүд	Categoria:Ginnastica ai Giochi olimpici
Ангилал:Гандболын багууд	Categoria:Società di pallamano
Ангилал:Атлантын олимп	Categoria:Giochi della XXVI Olimpiade
Ангилал:2002 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Categoria:Campionato mondiale di calcio 2002
Ангилал:Турины олимп	Categoria:XX Giochi olimpici invernali
Ангилал:Унгарын гандболын багууд	Categoria:Società di pallamano ungheresi
Ангилал:Гидрогеологи	Categoria:Idrogeologia
Ангилал:Эрүүл ахуй	Categoria:Igiene
Ангилал:Хоккей	Categoria:Hockey su ghiaccio
Ангилал:Олимпийн хоккейн тэмцээнүүд	Categoria:Hockey su ghiaccio ai Giochi olimpici
Ангилал:Индонезийн бадминтончид	Categoria:Giocatori di badminton indonesiani
Ангилал:Индонезийн тамирчид	Categoria:Sportivi indonesiani
Ангилал:Мэдээллийн системүүд	Categoria:Sistemi informativi
Ангилал:Өвөр Монгол орон	Categoria:Mongolia Interna
Ангилал:Ирланд	Categoria:Irlanda
Ангилал:Кот д'Ивуарын тамирчид	Categoria:Sportivi ivoriani
Ангилал:Японы цанын хоёр төрөлтийн тамирчид	Categoria:Combinatisti nordici giapponesi
Ангилал:Японы бэйсболчид	Categoria:Giocatori di baseball giapponesi
Ангилал:Японы фристайльчид	Categoria:Sciatori freestyle giapponesi
Ангилал:Японы генерал	Categoria:Generali giapponesi
Ангилал:Японы хөгжмийн зэмсгүүд	Categoria:Strumenti musicali giapponesi
Ангилал:Жүдо	Categoria:Judo
Ангилал:Олимпийн жүдогийн тэмцээнүүд	Categoria:Judo ai Giochi olimpici
Ангилал:Жүдогийн тэмцээнүүд	Categoria:Competizioni judoistiche
Ангилал:Хасагийн тамирчин	Categoria:Sportivi kazaki
Ангилал:Кенийн тамирчид	Categoria:Sportivi kenioti
Ангилал:Херсон муж	Categoria:Oblast' di Cherson
Ангилал:Кыргызстаны зохиолчид	Categoria:Scrittori kirghisi
Ангилал:Гватемалын нуурууд	Categoria:Laghi del Guatemala
Загвар:Удинезе багийн бүрэлдэхүүн	Template:Calcio Udinese rosa
Загвар:Тулуза багийн бүрэлдэхүүн	Template:Calcio Tolosa rosa
Ангилал:Латин Америк	Categoria:America Latina
Ангилал:Латвийн чаргачид	Categoria:Slittinisti lettoni
Ангилал:Латвийн тамирчид	Categoria:Sportivi lettoni
Ангилал:Лестер Сити багийн тоглогчид	Categoria:Calciatori del Leicester City F.C.
Ангилал:Македоны тамирчид	Categoria:Sportivi macedoni
Ангилал:Улс орнуудын харьцуулалт	Categoria:Liste di stati
Ангилал:Байлдааны үндсэн танкууд	Categoria:Carri armati da combattimento
Ангилал:Авто уралдаанчид	Categoria:Piloti automobilistici
Ангилал:Мексикийн хөнгөн атлетикчид	Categoria:Atleti messicani
Ангилал:Монгол хэлний бүлэг	Categoria:Lingue mongoliche
Ангилал:Мароккогийн тамирчид	Categoria:Sportivi marocchini
Ангилал:Мосфильмын кинонууд	Categoria:Mosfil'm
Ангилал:Төрөлжсөн спортын багууд	Categoria:Società polisportive
Ангилал:Бүгд Найрамдах Конго Улсын тамирчид	Categoria:Sportivi congolesi (Repubblica del Congo)
Ангилал:Нанотехнологи	Categoria:Nanotecnologia
Ангилал:Үндэсний Сагсан Бөмбөгийн Холбоо	Categoria:NBA
Ангилал:Ази тивийн гол мөрөн	Categoria:Fiumi dell'Asia
Ангилал:Словенийн спортын үндэсний шигшээ багууд	Categoria:Rappresentative sportive nazionali slovene
Ангилал:Ровно муж	Categoria:Oblast' di Rivne
Ангилал:Шинэ Зеландын тамирчид	Categoria:Sportivi neozelandesi
Ангилал:Нигеригийн хөнгөн атлетикчид	Categoria:Atleti nigeriani
Ангилал:Нигеригийн тамирчид	Categoria:Sportivi nigeriani
Ангилал:Румыны хөнгөн атлетикчид	Categoria:Atleti rumeni
Ангилал:Сэлүүрт завь	Categoria:Canottaggio
