Afríka	Africa
Flokkur:Notandi fr-M	Categoria:Utenti fr-M
Flokkur:Notandi id-M	Categoria:Utenti id-M
Flokkur:Notandi is-M	Categoria:Utenti is-M
Flokkur:Notandi it-M	Categoria:Utenti it-M
Flokkur:Notandi ku-M	Categoria:Utenti ku-M
Flokkur:Notandi li-M	Categoria:Utenti li-M
Flokkur:Notandi lt-M	Categoria:Utenti lt-M
Flokkur:Notandi lb-M	Categoria:Utenti lb-M
Flokkur:Notandi mg-M	Categoria:Utenti mg-M
Flokkur:Notandi nl-M	Categoria:Utenti nl-M
Flokkur:Notandi no-M	Categoria:Utenti no-M
Flokkur:Notandi nn-M	Categoria:Utenti nn-M
Flokkur:Notandi or-M	Categoria:Utenti or-M
Flokkur:Notandi ru-M	Categoria:Utenti ru-M
Flokkur:Notandi sh-M	Categoria:Utenti sh-M
Flokkur:Notandi ta-M	Categoria:Utenti ta-M
Flokkur:Notandi ar-M	Categoria:Utenti ar-M
Flokkur:Skemmtun	Categoria:Intrattenimento
Flokkur:Fólk fætt árið 2007	Categoria:Nati nel 2007
Flokkur:Persónur í Stjörnustríðs-myndunum	Categoria:Personaggi di Guerre stellari
Flokkur:Hljómplötur gefnar út árið 1955	Categoria:Album del 1955
Flokkur:Skýjakljúfar í Malasíu	Categoria:Grattacieli della Malesia
Flokkur:Skýjakljúfar eftir löndum	Categoria:Grattacieli per nazione
Flokkur:Dómkirkjur	Categoria:Cattedrali
Flokkur:Borgir í Bólivíu	Categoria:Località della Bolivia
Flokkur:Skýjakljúfar	Categoria:Grattacieli
Flokkur:Sýrlensk skáld	Categoria:Poeti siriani
Flokkur:Turks- og Caicoseyjar	Categoria:Turks e Caicos
Flokkur:Úrslitaleikir meistaradeildar Evrópu	Categoria:Finali della UEFA Champions League
Flokkur:Meistaradeild Evrópu	Categoria:UEFA Champions League
Flokkur:Viðskiptafræði	Categoria:Economia aziendale
Flokkur:Skrifletur	Categoria:Sistemi di scrittura
Flokkur:Byggðir á Grænlandi	Categoria:Località della Groenlandia
Snið:Vafrar	Template:Browser Internet
Flokkur:Hryðjuverkasamtök	Categoria:Organizzazioni terroristiche
Flokkur:Notandi eu-M	Categoria:Utenti eu-M
Flokkur:Forngrískir listamenn	Categoria:Artisti greci antichi
Flokkur:Háskólar í New York	Categoria:Università a New York
Flokkur:Fólk dáið árið 1246	Categoria:Morti nel 1246
Flokkur:Fólk dáið árið 1265	Categoria:Morti nel 1265
Flokkur:Fólk dáið árið 1210	Categoria:Morti nel 1210
Flokkur:Rússneskir sálfræðingar	Categoria:Psicologi russi
Flokkur:Grískir söngvarar	Categoria:Cantanti greci
Flokkur:Flugvellir á Íslandi	Categoria:Aeroporti dell'Islanda
Herfylki	Battaglione
Kellita Smith	Kellita Smith
Flokkur:Notandi af	Categoria:Utenti af
Flokkur:Notandi af-1	Categoria:Utenti af-1
Flokkur:Notandi af-2	Categoria:Utenti af-2
Flokkur:Notandi af-3	Categoria:Utenti af-3
Flokkur:Notandi af-M	Categoria:Utenti af-M
Flokkur:Notandi als	Categoria:Utenti als
Flokkur:Notandi als-1	Categoria:Utenti als-1
Flokkur:Notandi an	Categoria:Utenti an
Flokkur:Notandi ar	Categoria:Utenti ar
Flokkur:Fólk fætt árið 42 f.Kr.	Categoria:Nati nel 42 a.C.
Flokkur:Notandi ast	Categoria:Utenti ast
Flokkur:Fólk dáið árið 1377	Categoria:Morti nel 1377
Flokkur:Notandi ast-1	Categoria:Utenti ast-1
Flokkur:Notandi ast-3	Categoria:Utenti ast-3
Flokkur:1179	Categoria:Eventi del 1179
Flokkur:Notandi az-2	Categoria:Utenti az-2
Flokkur:Notandi az-M	Categoria:Utenti az-M
Flokkur:Notandi ba	Categoria:Utenti ba
Flokkur:Notandi bar	Categoria:Utenti bar
Flokkur:Lönd í Söngvakeppni evrópskra sjónvarpsstöðva	Categoria:Eurovision Song Contest per nazione
Flokkur:Notandi bg	Categoria:Utenti bg
Flokkur:Notandi bg-1	Categoria:Utenti bg-1
Flokkur:Taóismi	Categoria:Taoismo
Flokkur:Notandi bg-M	Categoria:Utenti bg-M
Flokkur:Notandi bn	Categoria:Utenti bn
Flokkur:Notandi bn-2	Categoria:Utenti bn-2
Flokkur:Notandi ca	Categoria:Utenti ca
Flokkur:Notandi ca-1	Categoria:Utenti ca-1
Flokkur:Notandi ca-2	Categoria:Utenti ca-2
Flokkur:Notandi ca-3	Categoria:Utenti ca-3
Flokkur:Austurrískir tónlistarmenn	Categoria:Musicisti austriaci
Flokkur:Notandi ca-M	Categoria:Utenti ca-M
Flokkur:Notandi cs	Categoria:Utenti cs
Flokkur:Fólk dáið árið 244	Categoria:Morti nel 244
Flokkur:Fólk fætt árið 225	Categoria:Nati nel 225
Flokkur:Grísk hof	Categoria:Templi dell'antica Grecia
Flokkur:1132	Categoria:Eventi del 1132
Flokkur:Eyjar	Categoria:Isole
Flokkur:Notandi da	Categoria:Utenti da
Flokkur:Gvam	Categoria:Guam
Flokkur:Kyrrahaf	Categoria:Oceano Pacifico
Flokkur:Quang Binh	Categoria:Provincia di Quang Binh
Flokkur:Notandi sk-M	Categoria:Utenti sk-M
Flokkur:Notandi da-3	Categoria:Utenti da-3
Flokkur:Notandi de	Categoria:Utenti de
Flokkur:Notandi de-0	Categoria:Utenti de-0
Snið:Dagatal	Template:Calendario anno
Flokkur:Notandi de-2	Categoria:Utenti de-2
Flokkur:Notandi de-3	Categoria:Utenti de-3
Flokkur:Notandi de-4	Categoria:Utenti de-4
Flokkur:Notandi de-M	Categoria:Utenti de-M
Flokkur:Notandi dsb	Categoria:Utenti dsb
Flokkur:Notandi dsb-1	Categoria:Utenti dsb-1
Flokkur:Notandi el	Categoria:Utenti el
Flokkur:Notandi el-1	Categoria:Utenti el-1
Flokkur:Notandi el-2	Categoria:Utenti el-2
Flokkur:Forngrísk trúarbrögð	Categoria:Religione dell'antica Grecia
Flokkur:Notandi el-3	Categoria:Utenti el-3
Flokkur:Notandi el-4	Categoria:Utenti el-4
Flokkur:Notandi el-M	Categoria:Utenti el-M
Flokkur:Notandi en-0	Categoria:Utenti en-0
Flokkur:Íslensk flugfélög	Categoria:Compagnie aeree islandesi
Flokkur:Notandi en-3	Categoria:Utenti en-3
Snið:Grænland	Template:Suddivisioni della Groenlandia
Flokkur:Notandi en-M	Categoria:Utenti en-M
Flokkur:Forn-Grískar borgir	Categoria:Città dell'antica Grecia
Flokkur:Notandi eo-0	Categoria:Utenti eo-0
Flokkur:Notandi eo-1	Categoria:Utenti eo-1
Snið:Fylki Noregs	Template:Contee della Norvegia
Flokkur:Notandi eo-2	Categoria:Utenti eo-2
Flokkur:Notandi eo-3	Categoria:Utenti eo-3
Flokkur:Notandi eo-4	Categoria:Utenti eo-4
Flokkur:Notandi eo-M	Categoria:Utenti eo-M
Flokkur:Notandi es	Categoria:Utenti es
Flokkur:Notandi es-1	Categoria:Utenti es-1
Snið:Evrópusambandið	Template:Stati membri dell'Unione europea
Flokkur:Notandi es-2	Categoria:Utenti es-2
Flokkur:Túrkmenar	Categoria:Turkmeni
Flokkur:Notandi es-3	Categoria:Utenti es-3
Flokkur:Notandi es-4	Categoria:Utenti es-4
Flokkur:Notandi es-M	Categoria:Utenti es-M
Flokkur:Saó Tóme og Prinsípe	Categoria:São Tomé e Príncipe
Flokkur:Notandi eu	Categoria:Utenti eu
Flokkur:Notandi eu-4	Categoria:Utenti eu-4
Flokkur:Notandi fa	Categoria:Utenti fa
Flokkur:Notandi fa-M	Categoria:Utenti fa-M
Flokkur:Notandi fi	Categoria:Utenti fi
Flokkur:Notandi fi-2	Categoria:Utenti fi-2
Flokkur:Notandi fi-3	Categoria:Utenti fi-3
Flokkur:Notandi fi-4	Categoria:Utenti fi-4
Flokkur:Notandi fi-M	Categoria:Utenti fi-M
Flokkur:Notandi fo	Categoria:Utenti fo
Flokkur:Notandi fo-1	Categoria:Utenti fo-1
Flokkur:Notandi fr-0	Categoria:Utenti fr-0
Flokkur:Notandi fy	Categoria:Utenti fy
Flokkur:Notandi fy-1	Categoria:Utenti fy-1
Flokkur:Notandi fy-2	Categoria:Utenti fy-2
Flokkur:Saga Grænlands	Categoria:Storia della Groenlandia
Flokkur:Notandi ga-2	Categoria:Utenti ga-2
Flokkur:Landafræði Mósambíkur	Categoria:Geografia del Mozambico
Flokkur:Notandi ga-3	Categoria:Utenti ga-3
Flokkur:Notandi ga-M	Categoria:Utenti ga-M
Flokkur:1681-1690	Categoria:Eventi degli anni 1680
Flokkur:Heimspekingar 21. aldar	Categoria:Filosofi del XXI secolo
Flokkur:Heimspekingar 20. aldar	Categoria:Filosofi del XX secolo
Flokkur:Notandi grc	Categoria:Utenti grc
Flokkur:Notandi grc-1	Categoria:Utenti grc-1
Flokkur:Notandi grc-2	Categoria:Utenti grc-2
Flokkur:Notandi grc-3	Categoria:Utenti grc-3
Flokkur:Notandi gsw	Categoria:Utenti gsw
Flokkur:Notandi he	Categoria:Utenti he
Flokkur:Notandi he-1	Categoria:Utenti he-1
Flokkur:Notandi he-2	Categoria:Utenti he-2
Flokkur:Notandi he-3	Categoria:Utenti he-3
Flokkur:Notandi he-4	Categoria:Utenti he-4
Flokkur:Notandi he-M	Categoria:Utenti he-M
Flokkur:Notandi hr-1	Categoria:Utenti hr-1
Flokkur:Ráðuneyti eftir löndum	Categoria:Ministeri per nazione
Flokkur:Notandi hr-3	Categoria:Utenti hr-3
Flokkur:Notandi hsb	Categoria:Utenti hsb
Flokkur:Notandi hsb-1	Categoria:Utenti hsb-1
Flokkur:Notandi hu	Categoria:Utenti hu
Flokkur:Notandi hu-1	Categoria:Utenti hu-1
Flokkur:Notandi hu-3	Categoria:Utenti hu-3
Flokkur:Notandi id-3	Categoria:Utenti id-3
Flokkur:Notandi io	Categoria:Utenti io
Flokkur:Notandi io-3	Categoria:Utenti io-3
Flokkur:Notandi is	Categoria:Utenti is
Flokkur:Notandi is-1	Categoria:Utenti is-1
Flokkur:Notandi is-2	Categoria:Utenti is-2
Flokkur:Notandi is-3	Categoria:Utenti is-3
Flokkur:Notandi is-4	Categoria:Utenti is-4
Flokkur:1452	Categoria:Eventi del 1452
Flokkur:Hljómplötur gefnar út árið 1972	Categoria:Album del 1972
Flokkur:1499	Categoria:Eventi del 1499
Flokkur:1433	Categoria:Eventi del 1433
Flokkur:Notandi als-M	Categoria:Utenti als-M
Flokkur:Fólk fætt árið 47 f.Kr.	Categoria:Nati nel 47 a.C.
Flokkur:Íranar	Categoria:Iraniani
Flokkur:Franska Gvæjana	Categoria:Guyana francese
Flokkur:Fólk dáið árið 30 f.Kr.	Categoria:Morti nel 30 a.C.
Flokkur:Fólk dáið árið 1600	Categoria:Morti nel 1600
Flokkur:1465	Categoria:Eventi del 1465
Flokkur:Fólk dáið árið 1400	Categoria:Morti nel 1400
Flokkur:1472	Categoria:Eventi del 1472
Flokkur:Fólk dáið árið 1372	Categoria:Morti nel 1372
Eignarréttur	Proprietà (diritto)
Flokkur:Fólk fætt árið 1548	Categoria:Nati nel 1548
Flokkur:Fólk dáið árið 1465	Categoria:Morti nel 1465
Flokkur:Notandi pt-3	Categoria:Utenti pt-3
Flokkur:Þýsk stjórnmál	Categoria:Politica della Germania
Flokkur:Landafræði Brúnei	Categoria:Geografia del Brunei
Flokkur:Suðurkákasísk mál	Categoria:Lingue cartveliche
Flokkur:Fólk dáið árið 1904	Categoria:Morti nel 1904
Flokkur:Stjórnmál eftir löndum	Categoria:Politica per paese
Flokkur:Norsk fyrirtæki	Categoria:Aziende norvegesi
Flokkur:Notandi pl-M	Categoria:Utenti pl-M
Flokkur:Notandi pt-1	Categoria:Utenti pt-1
Snið:Heimssýningar	Template:ExpoCittà
Tímabil	Era (tempo)
Flokkur:Notandi ka-1	Categoria:Utenti ka-1
Flokkur:Háskólar í Bandaríkjunum	Categoria:Università e scuole statunitensi
Flokkur:Trías	Categoria:Triassico
Flokkur:Íslam eftir löndum	Categoria:Islam per nazione
Snið:Multiple image	Template:Immagine multipla
Flokkur:Tónlistarútgáfa	Categoria:Etichette discografiche
Flokkur:Rafeindaíhlutir	Categoria:Dispositivi elettronici
Legghlífar	Ghette
Flokkur:Portúgalskir rithöfundar	Categoria:Scrittori portoghesi
Flokkur:Fólk fætt árið 1793	Categoria:Nati nel 1793
Flokkur:Fólk dáið árið 1852	Categoria:Morti nel 1852
Flokkur:Fólk dáið árið 1880	Categoria:Morti nel 1880
Flokkur:1812	Categoria:Eventi del 1812
Flokkur:1793	Categoria:Eventi del 1793
Snið:Location map Stór-London	Template:Mappa di localizzazione/Londra
Flokkur:Rúmfræði	Categoria:Geometria
Flokkur:Fólk dáið árið 1942	Categoria:Morti nel 1942
Flokkur:Kvikmyndir frumsýndar 1977	Categoria:Film del 1977
Flokkur:Kvikmyndir frumsýndar 1942	Categoria:Film del 1942
Flokkur:Egyptalandsfræðingar	Categoria:Egittologi
Flokkur:Kanaríeyjar	Categoria:Canarie
Flokkur:Egyptalandsfræði	Categoria:Egittologia
Flokkur:Garðyrkja	Categoria:Giardinaggio
Snið:Infobox Disease	Template:Infobox malattia
Hjálp:Námskeið/Textavinnsla	Aiuto:Tutorial/Formattazione
Flokkur:Notandi it	Categoria:Utenti it
Flokkur:Notandi it-1	Categoria:Utenti it-1
Flokkur:Notandi ja-1	Categoria:Utenti ja-1
Flokkur:Notandi jv	Categoria:Utenti jv
Flokkur:Notandi jv-2	Categoria:Utenti jv-2
Flokkur:Notandi ka	Categoria:Utenti ka
Flokkur:Vefsíður	Categoria:Siti web
Flokkur:Notandi kk	Categoria:Utenti kk
Flokkur:Notandi kk-1	Categoria:Utenti kk-1
Heiðrún	Heidrun
Flokkur:Vetraríþróttir	Categoria:Sport invernali
Flokkur:Notandi kn	Categoria:Utenti kn
Flokkur:Notandi kn-1	Categoria:Utenti kn-1
Flokkur:Notandi ko	Categoria:Utenti ko
Flokkur:Fylki í Bandaríkjunum	Categoria:Stati degli Stati Uniti d'America
Flokkur:Notandi ko-1	Categoria:Utenti ko-1
Flokkur:Kvikmyndir frumsýndar 2013	Categoria:Film del 2013
Flokkur:Notandi ko-2	Categoria:Utenti ko-2
Flokkur:Notandi ko-3	Categoria:Utenti ko-3
Flokkur:Spænskir leikstjórar	Categoria:Registi spagnoli
Flokkur:Notandi ksh	Categoria:Utenti ksh
Snið:Bandarísk stjórnmál	Template:Politica Stati Uniti d'America
Flokkur:Notandi ksh-M	Categoria:Utenti ksh-M
Flokkur:Notandi ku	Categoria:Utenti ku
Flokkur:1505	Categoria:Eventi del 1505
Flokkur:Notandi la-1	Categoria:Utenti la-1
Snið:Konungar Belgíu	Template:Re del Belgio
Flokkur:Notandi la-3	Categoria:Utenti la-3
Flokkur:Notandi la-4	Categoria:Utenti la-4
Flokkur:Notandi la-M	Categoria:Utenti la-M
Flokkur:Sálarsöngvarar	Categoria:Cantanti soul
Flokkur:Notandi lb	Categoria:Utenti lb
Flokkur:Notandi lb-1	Categoria:Utenti lb-1
Flokkur:Kastalar eftir löndum	Categoria:Fortezze per nazione
Flokkur:Landafræði Ástralíu	Categoria:Geografia dell'Australia
Flokkur:Pelópsskagastríðið	Categoria:Guerra del Peloponneso
Flokkur:Kirkjur á Íslandi	Categoria:Chiese dell'Islanda
Flokkur:Fólk fætt árið 305 f.Kr.	Categoria:Nati nel 305 a.C.
Flokkur:Fólk fætt árið 63 f.Kr.	Categoria:Nati nel 63 a.C.
Flokkur:Þéttbýlisstaðir Íslands	Categoria:Centri abitati dell'Islanda
Snið:Gjaldmiðill	Template:Valuta
Flokkur:Handknattleikur	Categoria:Pallamano
Flokkur:1511-1520	Categoria:Eventi degli anni 1510
Flokkur:Eldstöðvar	Categoria:Vulcani
Flokkur:1556	Categoria:Eventi del 1556
Flokkur:1585	Categoria:Eventi del 1585
Flokkur:1596	Categoria:Eventi del 1596
Flokkur:Fólk dáið árið 1553	Categoria:Morti nel 1553
Flokkur:Fólk dáið árið 1556	Categoria:Morti nel 1556
Flokkur:Fólk dáið árið 1521	Categoria:Morti nel 1521
Flokkur:Fólk dáið árið 1564	Categoria:Morti nel 1564
Flokkur:Fólk dáið árið 1536	Categoria:Morti nel 1536
Flokkur:1521	Categoria:Eventi del 1521
Snið:NOR	Template:NOR
Flokkur:1564	Categoria:Eventi del 1564
Flokkur:Fólk dáið árið 1111	Categoria:Morti nel 1111
Flokkur:Fólk dáið á 12. öld	Categoria:Morti nel XII secolo
Flokkur:1553	Categoria:Eventi del 1553
Flokkur:1576	Categoria:Eventi del 1576
Flokkur:1592	Categoria:Eventi del 1592
Flokkur:1536	Categoria:Eventi del 1536
Flokkur:1560	Categoria:Eventi del 1560
Flokkur:Borgir í Chile	Categoria:Comuni del Cile
Flokkur:Konungar Sádí-Arabíu	Categoria:Re dell'Arabia Saudita
Flokkur:Knattspyrnudeildir eftir löndum	Categoria:Competizioni calcistiche per nazione
Flokkur:Fólk dáið árið 1596	Categoria:Morti nel 1596
Snið:Sýslur á Englandi	Template:Contee inglesi
Flokkur:Fólk fætt árið 1141	Categoria:Nati nel 1141
Flokkur:Fólk dáið árið 66	Categoria:Morti nel 66
Flokkur:Landbúnaðarverkfæri	Categoria:Macchine agricole
Flokkur:Fólk dáið árið 1334	Categoria:Morti nel 1334
Máltíð	Pasto
Flokkur:Skrápdýr	Categoria:Echinodermi
Flokkur:Bókmenntaverðlaun eftir löndum	Categoria:Premi letterari per nazionalità
Flokkur:Söguspeki	Categoria:Filosofia della storia
Flokkur:Ritverk Cícerós	Categoria:Opere di Cicerone
Wikipedia:Viðhald	Aiuto:Lavoro sporco
Snið:Mynd	Template:Informazioni file
Flokkur:Garðverkfæri	Categoria:Attrezzi da giardinaggio
Flokkur:Stéttarfélög	Categoria:Sindacati
Flokkur:Endurreisnartónskáld	Categoria:Compositori rinascimentali
Flokkur:Rómverskar ættir	Categoria:Famiglie dell'antica Roma
Flokkur:14. öldin f.Kr.	Categoria:XIV secolo a.C.
Flokkur:Fólk dáið árið 1922	Categoria:Morti nel 1922
Flokkur:Notandi nn-2	Categoria:Utenti nn-2
Flokkur:Fólk dáið árið 55 f.Kr.	Categoria:Morti nel 55 a.C.
Snið:BRA	Template:BRA
Flokkur:Pólýnesía	Categoria:Polinesia
Flokkur:Úkraínumenn	Categoria:Ucraini
Flokkur:Hollenskir stjörnufræðingar	Categoria:Astronomi olandesi
Flokkur:Hollenskir stærðfræðingar	Categoria:Matematici olandesi
Flokkur:Hollenskir landkönnuðir	Categoria:Esploratori olandesi
Flokkur:Hollenskir eðlisfræðingar	Categoria:Fisici olandesi
Flokkur:Hollenskir heimspekingar	Categoria:Filosofi olandesi
Flokkur:Hollenskir rithöfundar	Categoria:Scrittori olandesi
Flokkur:Fólk dáið árið 1793	Categoria:Morti nel 1793
Flokkur:Fólk dáið árið 1794	Categoria:Morti nel 1794
Flokkur:Fólk dáið árið 1703	Categoria:Morti nel 1703
Flokkur:Fólk dáið árið 1822	Categoria:Morti nel 1822
Flokkur:1549	Categoria:Eventi del 1549
Flokkur:1718	Categoria:Eventi del 1718
Flokkur:Fólk dáið árið 1931	Categoria:Morti nel 1931
Flokkur:Fólk dáið árið 1827	Categoria:Morti nel 1827
Flokkur:Ljósmyndarar	Categoria:Fotografi
Flokkur:Notandi ru-1	Categoria:Utenti ru-1
Flokkur:Nautgripakyn	Categoria:Razze bovine
Wikipedia:Málkassi	Wikipedia:Babel
Sveitarfélagið Nes	Nes (Fær Øer)
Flokkur:Fólk dáið árið 1798	Categoria:Morti nel 1798
Flokkur:Fólk dáið árið 1829	Categoria:Morti nel 1829
Flokkur:Fólk dáið árið 1826	Categoria:Morti nel 1826
Flokkur:Fólk dáið árið 1799	Categoria:Morti nel 1799
Flokkur:Fólk dáið árið 1778	Categoria:Morti nel 1778
Flokkur:Fólk dáið árið 1547	Categoria:Morti nel 1547
Flokkur:Sumarólympíuleikarnir 1928	Categoria:Giochi della IX Olimpiade
Flokkur:Franskir dýrlingar	Categoria:Santi francesi
Flokkur:Bifreiðaframleiðendur eftir löndum	Categoria:Case automobilistiche per nazionalità
Flokkur:Kúbverjar	Categoria:Cubani
Flokkur:Leikrit	Categoria:Opere teatrali
Flokkur:1971-1980	Categoria:Eventi degli anni 1970
Flokkur:1891-1900	Categoria:Eventi degli anni 1890
Flokkur:Fólk dáið árið 1234	Categoria:Morti nel 1234
Flokkur:Fólk fætt árið 1336	Categoria:Nati nel 1336
Flokkur:Ásláttarhljóðfæri	Categoria:Strumenti musicali a percussione
Flokkur:Kardinálar	Categoria:Cardinali
Flokkur:Nýlendustefna	Categoria:Colonialismo
Flokkur:Rótargrænmeti	Categoria:Radici e tuberi commestibili
Flokkur:Þýskir hagfræðingar	Categoria:Economisti tedeschi
Flokkur:1687	Categoria:Eventi del 1687
Flokkur:1614	Categoria:Eventi del 1614
Flokkur:1612	Categoria:Eventi del 1612
Flokkur:1653	Categoria:Eventi del 1653
Flokkur:1672	Categoria:Eventi del 1672
Flokkur:1673	Categoria:Eventi del 1673
Flokkur:Fólk dáið árið 1612	Categoria:Morti nel 1612
Flokkur:Fólk dáið árið 1680	Categoria:Morti nel 1680
Flokkur:Fólk dáið árið 1691	Categoria:Morti nel 1691
Flokkur:1691	Categoria:Eventi del 1691
Flokkur:Fólk dáið árið 1655	Categoria:Morti nel 1655
Flokkur:Fólk dáið árið 1616	Categoria:Morti nel 1616
Flokkur:Fólk dáið árið 1614	Categoria:Morti nel 1614
Flokkur:Fólk dáið árið 1661	Categoria:Morti nel 1661
Flokkur:1661	Categoria:Eventi del 1661
Flokkur:Hollenskir knattspyrnumenn	Categoria:Calciatori olandesi
Flokkur:1655	Categoria:Eventi del 1655
Flokkur:1680	Categoria:Eventi del 1680
Flokkur:1684	Categoria:Eventi del 1684
Flokkur:Tónlistarhugbúnaður	Categoria:Software musicali
Flokkur:Skáld	Categoria:Poeti
Flokkur:Hjartagrasaætt	Categoria:Caryophyllaceae
Flokkur:Pólverjar	Categoria:Polacchi
Snið:Kantónur í Sviss	Template:Cantoni svizzeri
Flokkur:Notandi lv	Categoria:Utenti lv
Flokkur:Kínverskir heimspekingar	Categoria:Filosofi cinesi
Snið:TUN	Template:TUN
Flokkur:Saga Ítalíu	Categoria:Storia d'Italia
Flokkur:Aðalritarar Sameinuðu þjóðanna	Categoria:Segretari generali delle Nazioni Unite
Flokkur:Notandi mi	Categoria:Utenti mi
Flokkur:Notandi mi-1	Categoria:Utenti mi-1
Flokkur:Upplýsingin	Categoria:Illuminismo
Flokkur:Réttarheimspeki	Categoria:Filosofia del diritto
Flokkur:Notandi mo	Categoria:Utenti mo
Flokkur:Verufræði	Categoria:Ontologia
Flokkur:Notandi ms-1	Categoria:Utenti ms-1
Flokkur:Fólk dáið árið 1994	Categoria:Morti nel 1994
Flokkur:Fólk fætt árið 1906	Categoria:Nati nel 1906
Flokkur:Forsetar Nárú	Categoria:Presidenti di Nauru
Flokkur:Landafræði eftir löndum	Categoria:Geografia degli stati
Flokkur:Borgir í Slóvakíu	Categoria:Città della Slovacchia
Flokkur:Höf	Categoria:Mari
Flokkur:Borgir í Póllandi	Categoria:Città della Polonia
Flokkur:Tónskáld eftir þjóðerni	Categoria:Compositori per nazionalità
Flokkur:Prússland	Categoria:Prussia
Snið:Grískt stafróf	Template:Alfabeto greco navbox
Flokkur:Kastalar	Categoria:Castelli
Flokkur:Krikket	Categoria:Cricket
Flokkur:Borgir í Finnlandi	Categoria:Città della Finlandia
Flokkur:Ertublómaætt	Categoria:Fabaceae
Skötur	Rajiformes
Flokkur:Forngrískir eðlisfræðingar	Categoria:Fisici greci antichi
Seglabúnaður	Armo (vela)
Flokkur:Mæling	Categoria:Misure
Vifta	Ventilatore
Stæða (stærðfræði)	Espressione aritmetica
Píslarvottur	Martire
Flokkur:Asksveppir	Categoria:Ascomycota
Flokkur:Míkrónesía	Categoria:Stati Federati di Micronesia
Evþýdemos (Platon)	Eutidemo (dialogo)
Flokkur:Heilkenni	Categoria:Sindromi
Snið:Pritzker-verðlaunin	Template:Premio Pritzker
Flokkur:Náttskuggaætt	Categoria:Solanaceae
Flokkur:England	Categoria:Inghilterra
Jörð (rafmagn)	Messa a terra
Flokkur:Ítalskir ostar	Categoria:Formaggi italiani
Fylki	Ente territoriale
Flokkur:Leikarar eftir löndum	Categoria:Attori per nazionalità
Flokkur:Týpógrafía	Categoria:Tipografia
Gosi	Pinocchio
Flokkur:Fyrirsætur	Categoria:Modelli
IUPAC-nafnakerfi	Nomenclatura chimica
Flokkur:Breskar kvikmyndir	Categoria:Film britannici
Flokkur:Notendur eftir áhugamálum	Wikipedia:Wikipediani/Interesse
Flokkur:Tübingen	Categoria:Tubinga
Flokkur:Notandi ro-0	Categoria:Utenti ro-0
Flokkur:Brýþonsk tungumál	Categoria:Lingue brittoniche
Flokkur:Fólk dáið árið 2009	Categoria:Morti nel 2009
Flokkur:Marke	Categoria:Marche
Flokkur:Frumspeki	Categoria:Metafisica
Flokkur:Hugsun	Categoria:Pensiero
Flokkur:Rökgreiningarheimspeki	Categoria:Filosofia analitica
Flokkur:Fólk dáið árið 1216	Categoria:Morti nel 1216
Flokkur:Árþúsund	Categoria:Millenni
Flokkur:Norræn goðafræði	Categoria:Mitologia norrena
Flokkur:Kokteilar	Categoria:Cocktail
Flokkur:Forngallía	Categoria:Gallia
Flokkur:Franskir verkfræðingar	Categoria:Ingegneri francesi
Flokkur:Bókmenntagreinar	Categoria:Generi letterari
Flokkur:Notandi nds	Categoria:Utenti nds
Flokkur:Notandi nds-1	Categoria:Utenti nds-1
Snið:LUX	Template:LUX
Flokkur:Notandi nds-2	Categoria:Utenti nds-2
Flokkur:Notandi nds-3	Categoria:Utenti nds-3
Flokkur:Notandi nds-M	Categoria:Utenti nds-M
Flokkur:Íþróttamót og -keppnir	Categoria:Competizioni sportive
Flokkur:Bókmenntaverðlaun	Categoria:Premi letterari
Flokkur:Sólkerfið	Categoria:Sistema solare
Fourier–vörpun	Trasformata di Fourier
Flokkur:Danskir kvikmyndaleikstjórar	Categoria:Registi danesi
Flokkur:Hagaköngulær	Categoria:Gnaphosidae
Flokkur:Eldfjöll í Tansaníu	Categoria:Vulcani della Tanzania
Flokkur:Fuglafræði	Categoria:Ornitologia
Flokkur:1453	Categoria:Eventi del 1453
Snið:Stjórnarfar ríkja	Template:Forme di Stato e di Governo
Flokkur:Tókýó	Categoria:Tokyo
Flokkur:Austurrískir heimspekingar	Categoria:Filosofi austriaci
Flokkur:Fólk fætt árið 980	Categoria:Nati nel 980
Flokkur:Fólk dáið árið 1037	Categoria:Morti nel 1037
Flokkur:Fólk dáið árið 7	Categoria:Morti nel 7
Flokkur:Fólk dáið árið 9	Categoria:Morti nel 9
Flokkur:Fólk fætt árið 10	Categoria:Nati nel 10
Flokkur:Alþjóðastofnanir	Categoria:Organizzazioni internazionali
Flokkur:Héruð Malaví	Categoria:Distretti del Malawi
Flokkur:Fólk dáið árið 17	Categoria:Morti nel 17
Flokkur:Skordýrafræði	Categoria:Entomologia
Flokkur:Liðdýr	Categoria:Artropodi
Flokkur:Ráðherraembætti	Categoria:Ministri
Flokkur:Fólk dáið árið 24	Categoria:Morti nel 24
Flokkur:Iðnaður	Categoria:Industria
Flokkur:Fólk fætt árið 27	Categoria:Nati nel 27
Flokkur:Fólk fætt árið 30	Categoria:Nati nel 30
Flokkur:Fólk fætt árið 32	Categoria:Nati nel 32
Flokkur:Dóminíska lýðveldið	Categoria:Repubblica Dominicana
Flokkur:Fólk fætt árið 37	Categoria:Nati nel 37
Flokkur:Fólk dáið árið 39	Categoria:Morti nel 39
Flokkur:Fólk fætt árið 40	Categoria:Nati nel 40
Flokkur:Fólk dáið árið 41	Categoria:Morti nel 41
