Hĭ-ciŭ	Africa
模板:Dṳ̆ng-huà Ìng-mìng Gê̤ṳng-huò-guók Hèng-céng-kṳ̆	Template:Province della Cina
模板:Userpage	Template:Pagina utente
模板:Non-free logo	Template:Marchio
模板:User	Template:Utente
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 12 hô̤	Template:PaginaPrincipale/Attualita/12 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 2 hô̤	Template:PaginaPrincipale/Attualita/2 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 6 hô̤	Template:PaginaPrincipale/Attualita/6 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 18 hô̤	Template:PaginaPrincipale/Attualita/18 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 10 hô̤	Template:PaginaPrincipale/Attualita/10 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 9 hô̤	Template:PaginaPrincipale/Attualita/9 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 23 hô̤	Template:PaginaPrincipale/Attualita/23 ottobre
模板:Image label small	Template:Etichetta immagine piccola
模板:User fr-3	Template:Utente fr-3
模板:Gô-dā̤ gì guók-gă	Template:Stato storico
分類:User ja-M	Categoria:Utenti ja-M
模板:Gì-ngiê	Template:Disambigua
分類:Dièu-siēng lĭk-sṳ̄	Categoria:Storia della Corea
模板:User nan	Template:Utente zh-min-nan
模板:User nan-1	Template:Utente zh-min-nan-1
模板:Lang-grc	Template:Lang-grc
模板:AUS	Template:AUS
分類:Sĕng-ŭk	Categoria:Forme di vita
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 14 hô̤	Template:PaginaPrincipale/Attualita/14 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 9 hô̤	Template:PaginaPrincipale/Attualita/9 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 13 hô̤	Template:PaginaPrincipale/Attualita/13 settembre
分類:User vi-3	Categoria:Utenti vi-3
模板:User la-1	Template:Utente la-1
分類:User fr	Categoria:Utenti fr
分類:User ja	Categoria:Utenti ja
分類:User la	Categoria:Utenti la
分類:User fr-3	Categoria:Utenti fr-3
分類:User it-3	Categoria:Utenti it-3
分類:User ja-3	Categoria:Utenti ja-3
分類:User fr-2	Categoria:Utenti fr-2
分類:User it-2	Categoria:Utenti it-2
分類:User ja-2	Categoria:Utenti ja-2
分類:User la-2	Categoria:Utenti la-2
分類:User ko-M	Categoria:Utenti ko-M
分類:User fr-M	Categoria:Utenti fr-M
分類:User it-M	Categoria:Utenti it-M
分類:User nl-M	Categoria:Utenti nl-M
分類:Ùng-cê	Categoria:Sistemi di scrittura
分類:Dô̤-gáu	Categoria:Taoismo
分類:Dō̤	Categoria:Isole
分類:User de	Categoria:Utenti de
分類:User de-2	Categoria:Utenti de-2
分類:User de-3	Categoria:Utenti de-3
分類:User de-M	Categoria:Utenti de-M
分類:User en-3	Categoria:Utenti en-3
分類:User en-M	Categoria:Utenti en-M
分類:User es	Categoria:Utenti es
分類:User es-1	Categoria:Utenti es-1
分類:User es-2	Categoria:Utenti es-2
分類:User es-3	Categoria:Utenti es-3
分類:User es-M	Categoria:Utenti es-M
分類:User it	Categoria:Utenti it
分類:User it-1	Categoria:Utenti it-1
分類:User ja-1	Categoria:Utenti ja-1
分類:User ko	Categoria:Utenti ko
分類:Mī-guók gì ciŭ	Categoria:Stati degli Stati Uniti d'America
分類:User ko-1	Categoria:Utenti ko-1
分類:User ko-2	Categoria:Utenti ko-2
分類:User ko-3	Categoria:Utenti ko-3
分類:User ksh	Categoria:Utenti ksh
分類:User ksh-M	Categoria:Utenti ksh-M
分類:User la-1	Categoria:Utenti la-1
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 29 hô̤	Template:PaginaPrincipale/Attualita/29 settembre
分類:User la-3	Categoria:Utenti la-3
分類:User la-M	Categoria:Utenti la-M
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 5 hô̤	Template:PaginaPrincipale/Attualita/5 settembre
模板:Information	Template:Informazioni file
分類:Huâng-cô̤i	Categoria:Criminalità
分類:Hāi	Categoria:Mari
Hŭng-siéng	Ventilatore
分類:Guōng-dĕ̤ng	Categoria:Guangdong
分類:Hók-gióng	Categoria:Fujian
分類:Ciék-ciĕ dông-ŭk	Categoria:Artropodi
分類:User nan	Categoria:Utenti zh-min-nan
分類:User nan-1	Categoria:Utenti zh-min-nan-1
分類:User nan-2	Categoria:Utenti zh-min-nan-2
分類:User nan-3	Categoria:Utenti zh-min-nan-3
分類:User nan-M	Categoria:Utenti zh-min-nan-M
分類:Hĭ-ciŭ guók-gă	Categoria:Stati dell'Africa
分類:Gáuk-guók gì gáu-ṳ̆k	Categoria:Istruzione per nazione
模板:User ja-2	Template:Utente ja-2
模板:User ja-3	Template:Utente ja-3
分類:User vi	Categoria:Utenti vi
分類:User vi-1	Categoria:Utenti vi-1
分類:User vi-2	Categoria:Utenti vi-2
分類:User vi-M	Categoria:Utenti vi-M
分類:Ciék-gŏng	Categoria:Zhejiang
分類:Ĭng-ngŏk-gă	Categoria:Musicisti
模板:Lang	Template:Lang
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 21 hô̤	Template:PaginaPrincipale/Attualita/21 settembre
分類:Hŏk-sŭk	Categoria:Accademie e istituti di cultura
Bì-bà (ngŏk-ké)	Pipa (strumento musicale)
分類:Wikimedia gĕ̤ng-tiàng	Categoria:Progetti Wikimedia
分類:Gì-lôi	Categoria:Giochi di strategia
分類:Ò̤	Categoria:Fiumi
模板:User la-2	Template:Utente la-2
模板:User no-1	Template:Utente no-1
模板:User zh-1	Template:Utente zh-1
模板:User zh-2	Template:Utente zh-2
模板:User zh-3	Template:Utente zh-3
分類:Dâi-hàng Mìng-guók ìng-ŭk	Categoria:Sudcoreani
分類:Sôi-diēng ìng-ŭk	Categoria:Svedesi
分類:Nĭk-buōng ìng-ŭk	Categoria:Giapponesi
分類:Dài-uăng ìng-ŭk	Categoria:Taiwanesi
分類:User nl	Categoria:Utenti nl
分類:User zh-1	Categoria:Utenti zh-1
分類:User zh-3	Categoria:Utenti zh-3
分類:User zh-2	Categoria:Utenti zh-2
分類:Cāi	Categoria:Carta
分類:Ông-ò̤	Categoria:Canali artificiali
分類:Uŏk-nàng ìng-ŭk	Categoria:Vietnamiti
分類:Mìng-dièu huòng-dá̤	Categoria:Imperatori della dinastia Ming
分類:Ngò̤-lò̤-sṳ̆ ìng-ŭk	Categoria:Russi
分類:Hiŏng-gē̤ng ìng-ŭk	Categoria:Hongkonghesi
分類:Ciĕk-káik ìng-ŭk	Categoria:Cechi
分類:Tái-guók ìng-ŭk	Categoria:Thailandesi
分類:Sáng	Categoria:Cognomi
分類:Dièu-siēng Mìng-ciō-ciō-ngiê Ìng-mìng Gê̤ṳng-huò-guók	Categoria:Corea del Nord
分類:Dṳ̆ng-guók ìng-ŭk	Categoria:Cinesi
分類:Dièu-siēng	Categoria:Corea
分類:Dài-uăng	Categoria:Taiwan
分類:Dièu-siēng Mìng-ciō-ciō-ngiê Ìng-mìng Gê̤ṳng-huò-guók ìng-ŭk	Categoria:Nordcoreani
分類:Dâi-iòng-ciŭ guók-gă	Categoria:Stati dell'Oceania
分類:Báe̤k Mī-ciŭ guók-gă	Categoria:Stati dell'America settentrionale
分類:Ngṳ̀	Categoria:Pesci
分類:Cūi-guō	Categoria:Frutta
分類:Niōng-tā̤ dông-ŭk	Categoria:Molluschi
分類:Só-cê	Categoria:Sistemi di numerazione
分類:Gióng-dé̤ṳk cài-lâiu	Categoria:Materiali edilizi
分類:Dông-ŭk	Categoria:Animali
分類:Guòng-lé	Categoria:Diritti
分類:Ìng-guòng	Categoria:Diritti umani
分類:Ū-ké	Categoria:Armi
分類:Nàng Mī-ciŭ guók-gă	Categoria:Stati dell'America meridionale
分類:Gă-sĭ	Categoria:Mobili
分類:Ké-chiông	Categoria:Meteorologia
分類:Dṳ̆ng Mī-ciŭ	Categoria:America centrale
分類:Hiŏng-gē̤ng	Categoria:Hong Kong
分類:Ĭ-siòng	Categoria:Abbigliamento
分類:Cáik-nĭk	Categoria:Festival
分類:Kuàng-ciék dông-ŭk	Categoria:Anellidi
分類:Bâng	Categoria:Malattie
分類:Kiŏng-diòng dông-ŭk	Categoria:Celenterati
分類:Gùng-dō̤	Categoria:Arcipelaghi
分類:Káh-dièu-nó̤h	Categoria:Giocattoli
分類:Gă-dìng	Categoria:Famiglia
分類:Dṳ̆ng-guók huòng-dá̤	Categoria:Imperatori della Cina
分類:Nguòng-dièu huòng-dá̤	Categoria:Imperatori della dinastia Yuan
分類:Háng-dièu huòng-dá̤	Categoria:Imperatori della dinastia Han
分類:Báe̤k Mī-ciŭ	Categoria:America settentrionale
分類:Gŏ̤-chiū	Categoria:Cantanti
分類:Hù	Categoria:Laghi
分類:Só-hŏk-gă	Categoria:Matematici
模板:Infobox ngṳ̄-ngiòng	Template:Lingua
分類:Dâi-iòng-ciŭ	Categoria:Oceania
分類:Gô-dā̤ gì guók-gă	Categoria:Stati scomparsi
Vĩnh Long	Provincia di Vinh Long
Cāi-puŏi	Cartone ondulato
分類:Giông-kŏng	Categoria:Salute
分類:Sĕng-lī	Categoria:Fisiologia
Trojany	Trojany
模板:Infobox color	Template:Infobox colore
分類:Ā-ciŭ guók-gă	Categoria:Stati dell'Asia
分類:Mī-ciŭ guók-gă	Categoria:Stati dell'America
模板:User nan-2	Template:Utente zh-min-nan-2
模板:User la	Template:Utente la
分類:Huák-lŭk	Categoria:Leggi
分類:Bēng-guòng	Categoria:Diritto d'autore
分類:Biēu-cìng	Categoria:Espressioni facciali
分類:Ôi-sĕng	Categoria:Igiene
模板:Image label begin	Template:Etichetta immagine inizio
模板:Dṳ̆ng-huà Mìng-guók Hèng-céng-kṳ̆	Template:Suddivisioni di Taiwan
分類:Diêng-ké	Categoria:Apparecchi elettrici
模板:User vi	Template:Utente vi
分類:User en-1	Categoria:Utenti en-1
分類:User de-1	Categoria:Utenti de-1
Wikipedia:失效鏈接	Aiuto:Collegamenti interrotti
Liù-giù	Ryūkyū
模板:User nan-3	Template:Utente zh-min-nan-3
Hù-diĕk	Farfalla
模板:Hók-gióng	Template:Prefetture del Fujian
Chái-tàu	Raphanus sativus
模板:Ping	Template:Ping
模板:Ruby	Template:Ruby
模組:Arguments	Modulo:Arguments
特殊:最近其改變	Speciale:UltimeModifiche
模組:Citation/CS1	Modulo:Citazione
模組:Coordinates	Modulo:Coord
模組:Infobox	Modulo:Infobox
